MLS,Prop Subtype,St #,Address,City,Zip,BR,Baths(FTHQ),Other Deposit,Pet Deposit,Key Deposit,OLP,Security Deposit,LP,SqFt,LP $/SqFt,YB,# Prking Spaces,Laundry,Pets,Lease Terms,Furnished,Seller's Agent 1 Cell,Lot Sz
RS26025495MR,,15265,15265   Leffingwell  ,WHITTIER,90604,2,2.00 (2 0 0 0),,$500.00,,$825,$800,$825,"1,174",$0.70,1981,0,Garage,,Negotiable,,562-533-0373,"78,371"
CV26023167MR,,6,6   Sage Canyon  ,POMONA,91766,1,1.00 (0 1 0 0),,$250.00,50,"$1,100","$1,100","$1,100","1,822",$0.60,1982,1,Garage,,1-Year,Furnished,626-354-7498,"6,044"
DW26021930MR,,2806,2806   Palm Grove AVE ,LOS ANGELES,90016,4,3.00 (3 0 0 0),200,$0.00,100,"$1,250","$1,250","$1,250","2,211",$0.57,2022,0,Gas Or Electric Dryer Hookup,No,Negotiable,Unfurnished,562-445-7375,"5,200"
AR26025005MR,,1001,1001  S Eucalyptus AVE ,INGLEWOOD,90301,0,1.00 (1 0 0 0),,$0.00,,"$1,400","$1,400","$1,400",290,$4.83,2025,0,Other,,1-Year,Unfurnished,626-824-5184,"5,786"
SR26023418MR,,2010,2010  W Lumber  ,LANCASTER,93536,0,1.00 (1 0 0 0),,$500.00,,"$1,450","$1,450","$1,450",474,$3.06,1955,0,None,,1-Year,Unfurnished,818-522-4481,"7,481"
SR26019671MR,Apartment,44753,44753   Andale  ,LANCASTER,93535,1,1.00 (1 0 0 0),,$0.00,50,"$1,475","$1,450","$1,475",400,$3.69,1956,0,"Washer,Washer Hookup,Washer Included",No,1-Year,Unfurnished,818-633-3566,"7,119"
TR26023963MR,,1500,1500   Magnolia AVE #1B,LONG BEACH,90813,1,1.00 (1 0 0 0),,$0.00,,"$1,495","$1,500","$1,495",350,$4.27,1918,0,Inside,No,1-Year,Unfurnished,909-282-0628,"3,151"
TR26023658MR,,18421,18421   Rocky Ct ,ROWLAND HEIGHTS,91748,1,1.00 (1 0 0 0),200,$0.00,100,"$1,500","$1,800","$1,500",450,$3.33,1992,0,None,No,"1+Year,1-Year",Furnished,626-321-7018,"10,714"
PW26024103MR,,2734,2734   Grove  ,LA VERNE,91750,6,2.00 (2 0 0 0),,$0.00,,"$1,500","$1,500","$1,500","2,325",$0.65,1964,2,"Garage,Gas Dryer Hookup,Washer Hookup",No,"1+Year,1-Year,Other",Unfurnished,714-383-1231,"8,179"
GD26022649IT,Single Family,14223,14223   Carl ST ,ARLETA,91331,0,1.00 (1 0 0 0),,$400.00,,"$1,500","$1,500","$1,500",700,$2.14,1953,0,None,,1-Year,Unfurnished,323-447-8021,"7,538"
26645951,,4244,4244   Duquesne Ave ,Culver City,90232,0,1.00 (0 1 0 0),,$0.00,,"$1,500","$1,500","$1,500",200,$7.50,1964,1,"In Carport,Community",No,1+Year,Unfurnished,310-739-1638,"6,297"
SB26025282MR,Apartment,12926,12926   Doty AVE #10,HAWTHORNE,90250,1,1.00 (1 0 0 0),,$0.00,,"$1,595","$1,595","$1,595",416,$3.83,1962,1,Laundry Area,No,1-Year,Unfurnished,424-732-2821,"12,851"
SR26022895MR,,8445,8445 1/2  Calvin  ,NORTHRIDGE,91324,0,1.00 (1 0 0 0),,$200.00,,"$1,600","$1,600","$1,600",350,$4.57,2012,0,Gas Or Electric Dryer Hookup,,"1+Year,1-Year",Unfurnished,661-313-6860,"9,461"
SR26024485MR,,27027,27027   Edgewater  ,VALENCIA,91355,2,1.00 (1 0 0 0),300,$500.00,100,"$1,600","$1,600","$1,600",600,$2.67,2000,0,Inside,,1-Year,,661-210-7387,"3,953"
