MLS,Prop Subtype,St #,Address,City,Zip,BR,Baths(FTHQ),Other Deposit,Pet Deposit,Key Deposit,OLP,Security Deposit,LP,SqFt,LP $/SqFt,YB,# Prking Spaces,Laundry,Pets,Lease Terms,Furnished,Seller's Agent 1 Cell,Lot Sz
TR26184763MR,,1667,1667   Kingsley,POMONA,91767,1,1.00 (1 0 0 0),,$0.00,,$850,$850,$850,200,$4,1982,0,None,No,1-Year,Unfurnished,714 631-3858,"86,684"
TR26184769MR,,1667,1667   Kingsley,POMONA,91767,1,1.00 (1 0 0 0),,$0.00,,$950,$950,$950,250,$4,1981,0,Laundry Area,No,1-Year,Unfurnished,714 631-3858,"86,684"
TR26184628MR,,409,409  S Marguerita AVE,ALHAMBRA,91803,1,1.00 (1 0 0 0),,$0.00,,$950,"$1,500",$950,120,$7.92,1988,0,Inside,No,Other,Furnished,909-282-0628,"16,218"
SB26186060MR,Apartment,3920,3920   Marathon ST #7A,LOS ANGELES,90029,0,1.00 (1 0 0 0),,$0.00,,"$1,025","$1,025","$1,025",260,$3.94,1966,0,Laundry Area,,1-Year,Unfurnished,424-732-2821,"9,305"
26879749,,2956,2956  S Normandie Ave,Los Angeles,90007,4,3.00 (3 0 0 0),,,,"$1,050","$1,050","$1,050","2,046",$1,1913,5,In Unit,Yes,"1+Year,1-Year,6 Months,12 Months,Negotiable",Furnished,310-853-9266,"5,889"
26875693,,18414,18414   Collins St #213,Los Angeles,91356,0,1.00 (1 0 0 0),,,,"$1,495","$1,000","$1,395",400,$3.49,1971,0,Laundry Area,Call,"1+Year,12 Months,24 Months",Unfurnished,818-853-4929,"43,615"
26875715,,18414,18414   Collins St #221,Los Angeles,91356,0,1.00 (1 0 0 0),,,,"$1,495","$1,000","$1,395",400,$3,1971,0,Laundry Area,Call,"1+Year,12 Months,24 Months",Unfurnished,818-853-4929,"43,615"
26873861,Single Family,4370,4370   Beck Ave,Studio City,91604,1,1.00 (1 0 0 0),,,,"$1,400","$1,400","$1,400","2,961",$0.47,1938,0,"Laundry Area,Inside",No,"1+Year,Renewal Options,Negotiable",Unfurnished,310-600-0715,"6,779"
PW26184537MR,Single Family,2734,2734   Grove,LA VERNE,91750,1,0.00 (0 0 0 0),,$0.00,,"$1,450","$1,450","$1,450",140,$10.36,1964,0,"Garage,Gas Dryer Hookup,Washer Hookup",No,Month-to-Month,Furnished,714-383-1231,"8,179"
SR26184033MR,Apartment,14632,14632   Erwin ST #2,VAN NUYS,91411,0,1.00 (1 0 0 0),,$0.00,,"$1,495","$1,495","$1,495",650,$2.30,1958,0,Laundry Area,,1-Year,Unfurnished,213-422-7133,"6,756"
PW26184077MR,Condominium,406,406   Linden AVE #11,LONG BEACH,90802,0,1.00 (1 0 0 0),,$0.00,,"$1,495","$1,495","$1,495",425,$3.52,1917,0,Laundry Area,,1-Year,Unfurnished,,"5,015"
SR26184588MR,Single Family,14653,14653   Limedale,LOS ANGELES,91402,0,1.00 (1 0 0 0),,$0.00,,"$1,500","$1,500","$1,500",400,$3.75,1955,1,"Laundry Area,Laundry Closet Stacked,Other,Stackable W/D Hookup",No,1-Year,Furnished,818-277-0008,450
26887245,,814,814  S Hobart Blvd #404,Los Angeles,90005,0,1.00 (1 0 0 0),,,,"$1,550","$1,550","$1,550",450,$3,1930,1,"Laundry Area,Community,Other",Yes,1+Year,Unfurnished,310-500-5621,"9,043"
DW26174373MR,,8743,8743   Dorian ST,DOWNEY,90242,0,1.00 (0 1 0 0),,$0.00,25,"$1,550","$1,650","$1,550",450,$3.44,1963,0,None,No,"1-Year,Negotiable",Unfurnished,310-346-7851,"5,414"
PV26184706MR,,27720,27720   Eastvale  #2B,PALOS VERDES PENINSULA,90274,0,1.00 (0 1 0 0),,$0.00,,"$1,550","$1,550","$1,550",300,$5.17,2000,0,None,,1-Year,,310-704-4922,300
CV26183947MR,,16818,16818  E Masline ST,COVINA,91722,0,1.00 (1 0 0 0),,$0.00,,"$1,580","$1,480","$1,580",250,$6.32,1954,0,"Dryer,Dryer Included,Washer,Washer Included",No,1-Year,Unfurnished,909-895-9533,"8,354"
SR26186688MR,Single Family,10339,10339   Lev,LOS ANGELES,91331,1,1.00 (1 0 0 0),,$0.00,,"$1,595","$1,595","$1,595",500,$3.19,1950,0,None,No,1-Year,Unfurnished,818-968-4792,"7,498"
