MLS,Prop Subtype,St #,Address,City,Zip,BR,Baths(FTHQ),Other Deposit,Pet Deposit,Key Deposit,OLP,Security Deposit,LP,SqFt,LP $/SqFt,YB,# Prking Spaces,Laundry,Pets,Lease Terms,Furnished,Seller's Agent 1 Cell,Lot Sz
SR26163935MR,,14431,14431   Nordhoff ST ,PANORAMA CITY,91402,1,1.00 (1 0 0 0),,$0.00,,"$1,200","$1,200","$1,200",300,$4,1947,0,None,No,1-Year,Unfurnished,818-298-1402,"25,020"
SR26160854MR,,12917,12917   Gladstone  ,SYLMAR,91342,1,1.00 (1 0 0 0),,$0.00,,"$1,300","$1,300","$1,300","1,965",$0.66,1950,0,"Gas Or Electric Dryer Hookup,Inside",No,1-Year,Unfurnished,818-723-3169,"48,014"
26863747,,8517,8517   Reading Ave ,Los Angeles,90045,0,1.00 (1 0 0 0),,,,"$1,350","$1,350","$1,350",,$0,,0,None,No,"1+Year,1-Year",Unfurnished,310-567-4865,"3,999"
SR26164980MR,Condominium,2121,2121   James M Wood BLVD #316,LOS ANGELES,90006,0,1.00 (1 0 0 0),,$175.00,50,"$1,395","$1,395","$1,395",380,$3.67,1923,0,Community,,1-Year,Unfurnished,818-517-7826,"21,313"
26864057,Apartment,10620,10620  S Figueroa St #1/4,Los Angeles,90003,0,1.00 (1 0 0 0),,,,"$1,400","$1,400","$1,400",650,$2.15,1939,0,None,No,"12 Months,1-Year",Unfurnished,310-905-7228,"5,678"
26864977,,11472,11472   VENTURA  #4,STUDIO CITY,91604,0,1.00 (1 0 0 0),,,,"$1,549","$1,549","$1,549",380,$4.08,1941,1,None,Yes,1+Year,Unfurnished,818-640-3863,"6,248"
PW26161135MR,Single Family,2005,2005   Redding AVE ,ROSEMEAD,91770,1,1.00 (0 1 0 0),,$0.00,50,"$1,500","$1,500","$1,575",400,$3.94,1964,0,None,No,1-Year,Unfurnished,714 785-1279,"5,082"
OC26163411MR,Apartment,1085,1085   Hoffman AVE #11,LONG BEACH,90813,1,1.00 (1 0 0 0),,$0.00,,"$1,600","$1,600","$1,600",450,$3.56,1924,0,None,,1-Year,Unfurnished,949-275-4440,"6,961"
SB26161502MR,,14914,14914  S Denker  #1,GARDENA,90247,0,1.00 (0 1 0 0),,$0.00,,"$1,650",$0,"$1,650",350,$4.71,1947,0,None,No,1-Year,Unfurnished,310-993-1212,"7,053"
26864237,Condominium,1131,1131   Elm Ave #G,Glendale,91201,1,1.00 (1 0 0 0),,,,"$1,690","$1,690","$1,690",460,$3.67,1964,1,Community,Call,1+Year,Unfurnished,818-858-9272,"6,146"
