MLS,Prop Subtype,St #,Address,City,Zip,BR,Baths(FTHQ),Other Deposit,Pet Deposit,Key Deposit,OLP,Security Deposit,LP,SqFt,LP $/SqFt,YB,# Prking Spaces,Laundry,Pets,Lease Terms,Furnished,Seller's Agent 1 Cell,Lot Sz
CV26049646MR,Single Family,220,220  W 1st  ,SAN DIMAS,91773,3,1.00 (1 0 0 0),,$0.00,25,$850,$900,$850,"1,200",$0.71,1908,0,Room,No,1-Year,Furnished,951-897-4322,"6,977"
CV26050678MR,,509,509  S San Marino AVE #D,ALHAMBRA,91801,0,1.00 (1 0 0 0),,$0.00,,"$1,175","$1,175","$1,175",100,$11.75,1967,0,Community,No,1-Year,Unfurnished,626-625-3599,"7,411"
26660907,,920,920  S Hobart Blvd  #106,Los Angeles,90006,0,1.00 (1 0 0 0),,,,"$1,200","$1,200","$1,200",,$0,,0,Laundry Area,Yes,1+Year,Unfurnished,213-285-7934,"9,028"
AR26046248MR,,1516,1516  W Hellman AVE #C,ALHAMBRA,91803,1,1.00 (0 1 0 0),,$0.00,,"$1,200","$1,200","$1,200",430,$2.79,1947,0,"Outside,Room",No,1-Year,Unfurnished,626-664-1280,"7,237"
26662835,,400,400  S Kenmore Ave #300,Los Angeles,90020,0,1.00 (1 0 0 0),,,,"$1,295","$1,295","$1,295",500,$2.59,1925,0,Community,Yes,1+Year,Unfurnished,310-818-3246,"11,439"
26660917,,920,920  S S Hobart Blvd  #210,Los Angeles,90006,0,1.00 (1 0 0 0),,,,"$1,500","$1,200","$1,450",,$0,,0,Laundry Area,Yes,1+Year,Unfurnished,213-285-7934,"9,028"
26661263,,920,920  S S Hobart Blvd  #409,Los Angeles,90006,0,1.00 (1 0 0 0),,,,"$1,500","$1,500","$1,450",500,$2.90,,0,Laundry Area,Yes,1+Year,Unfurnished,213-285-7934,"9,028"
26661259,,920,920  S S Hobart Blvd  #403,Los Angeles,90006,0,1.00 (1 0 0 0),,,,"$1,500","$1,500","$1,450",500,$2.90,,0,Laundry Area,Yes,1+Year,Unfurnished,213-285-7934,"9,028"
SB26053286MR,Apartment,6345,6345   Templeton ST #J,HUNTINGTON PARK,90255,1,1.00 (1 0 0 0),,$0.00,,"$1,500","$1,500","$1,500",560,$2.68,1954,0,Laundry Area,No,1-Year,Unfurnished,424-732-2821,"7,382"
26663259,,612,612  S Dunsmuir Ave #5,Los Angeles,90036,0,1.00 (1 0 0 0),,,,"$1,550","$1,550","$1,550",500,$3.10,,0,Community,Call,"1+Year,12 Months",Unfurnished,323-443-6005,0
OC26053467MR,Apartment,651,651   Ward  ,LA HABRA,90631,1,1.00 (1 0 0 0),,$0.00,,"$1,575","$1,600","$1,575",650,$2.42,1964,0,None,Yes,1-Year,Unfurnished,9495612288,100
26663467,,11472,11472   VENTURA  #6,STUDIO CITY,91604,0,1.00 (1 0 0 0),,,,"$1,595","$1,595","$1,595",380,$4.20,1941,1,None,Yes,1+Year,Furnished,818-640-3863,"6,248"
26663245,,612,612  S Dunsmuir Ave #15,Los Angeles,90036,0,1.00 (1 0 0 0),,,,"$1,595","$1,595","$1,595",500,$3.19,,0,Community,Call,"1+Year,12 Months",Unfurnished,323-443-6005,0
OC26052508MR,,1340,1340   Grand  ,POMONA,91766,1,1.00 (1 0 0 0),,$0.00,,"$1,600","$1,600","$1,600",400,$4,1922,0,"Electric Dryer Hookup,Hookup - Electric,Laundry Closet Stacked,Stackable W/D Hookup,Washer Hookup",No,1-Year,Unfurnished,714-478-1495,"6,834"
SB26053273MR,Apartment,6345,6345   Templeton ST ,HUNTINGTON PARK,90255,1,1.00 (1 0 0 0),,$0.00,,"$1,650","$1,650","$1,650",735,$2.24,1954,1,Laundry Area,No,1-Year,Unfurnished,424-732-2821,"7,382"
26662695,,1510,1510  E Broadway  #6,Long Beach,90802,0,1.00 (1 0 0 0),,,,"$1,650","$1,650","$1,650",431,$3.83,1923,0,Community,Call,1+Year,Unfurnished,949-510-4350,"2,979"
26661775,,1238,1238  W Adams Blvd #5,Los Angeles,90007,1,1.00 (1 0 0 0),,,,"$1,675","$1,675","$1,675",600,$2.79,1908,0,Community,Call,12 Months,Both,3103593491,"11,759"
26662325,Combo - Res & Com,385,385   Redondo Ave #C,Long Beach,90814,0,1.00 (1 0 0 0),,,,"$1,690","$1,690","$1,690",250,$6.76,1947,0,None,Call,"1+Year,12 Months",Unfurnished,949-510-4350,"6,251"
GD26053797IT,Apartment,11659,11659   Hamlin ST #6,NORTH HOLLYWOOD,91606,1,1.00 (1 0 0 0),,$0.00,,"$1,700","$1,700","$1,700",800,$2.13,1955,0,Community,,1-Year,Unfurnished,818-281-8812,"9,308"
26661251,,920,920  S S Hobart Blvd  #302,Los Angeles,90006,1,1.00 (1 0 0 0),,,,"$1,750","$1,750","$1,700",,$0,,0,Laundry Area,Yes,1+Year,Unfurnished,213-285-7934,"9,028"
