MLS,Prop Subtype,St #,Address,City,Zip,BR,Baths(FTHQ),Other Deposit,Pet Deposit,Key Deposit,OLP,Security Deposit,LP,SqFt,LP $/SqFt,YB,# Prking Spaces,Laundry,Pets,Lease Terms,Furnished,Seller's Agent 1 Cell,Lot Sz
26656899,Apartment,2635,2635  S Hauser Blvd #room 5,Los Angeles,90016,1,1.00 (1 0 0 0),,,,$950,"$1,000",$950,"1,000",$0.95,2020,0,"Laundry Area,In Unit",Yes,1+Year,Unfurnished,,"6,079"
26658137,,4244,4244   Duquesne Ave ##9,Culver City,90232,0,1.00 (0 1 0 0),,,,"$1,350","$1,350","$1,350",200,$6.75,1964,0,"Community,In Carport",No,1+Year,Unfurnished,310-739-1638,"6,297"
26657601,,8472,8472  S Main St #8476 1/2,Los Angeles,90003,0,1.00 (1 0 0 0),,,,"$1,350","$1,350","$1,350",400,$3.38,1948,1,None,No,1+Year,Unfurnished,213-254-8790,"5,414"
26657135,,738,738   New Hampshire Ave #403,Los Angeles,90005,0,1.00 (1 0 0 0),,,,"$1,395","$1,395","$1,395",,$0,,0,Community,Yes,12 Months,Unfurnished,310-488-5459,"30,000"
SB26041903MR,Apartment,620,620  W 82nd ST #3,LOS ANGELES,90044,1,1.00 (1 0 0 0),,$0.00,,"$1,450","$1,450","$1,450",456,$3.18,1961,1,Laundry Area,No,1-Year,Unfurnished,424-732-2821,"9,316"
WS26044519MR,Apartment,516,516  E Lomita AVE #8,GLENDALE,91205,0,1.00 (1 0 0 0),,$0.00,,"$1,480","$1,480","$1,480",500,$2.96,1950,0,Community,No,1-Year,Unfurnished,3236577591,"14,109"
SR26040165MR,Single Family,6651,6651   Quakertown Ave ,WINNETKA,91306,1,1.00 (1 0 0 0),,"$1,000.00",,"$1,495","$1,495","$1,495",360,$4.15,2019,0,In Closet,,1-Year,Unfurnished,818-822-8044,360
26658123,,7524,7524   Sepulveda Blvd #107,Van Nuys,91405,1,1.00 (1 0 0 0),,,,"$1,497","$1,497","$1,497",,$0,1963,0,Community,Call,1+Year,Unfurnished,310-710-0601,"13,333"
25589191,,517,517 1/2 N Orlando Ave ,West Hollywood,90048,0,1.00 (1 0 0 0),,,,"$1,500","$3,000","$1,500",270,$5.56,1927,0,"Community,Laundry Area",Yes,1-Year,Unfurnished,323-543-3697,"5,198"
26657761,Apartment,2226,2226   Zoe Ave #C,Huntington Park,90255,0,1.00 (1 0 0 0),,,,"$1,500","$1,500","$1,500",250,$6,1942,0,None,Call,1+Year,Unfurnished,310-435-8432,"6,262"
