MLS,Prop Subtype,St #,Address,City,Zip,BR,Baths(FTHQ),Other Deposit,Pet Deposit,Key Deposit,OLP,Security Deposit,LP,SqFt,LP $/SqFt,YB,# Prking Spaces,Laundry,Pets,Lease Terms,Furnished,Seller's Agent 1 Cell,Lot Sz
PW25152069MR,,2039,2039  E Spaulding WAY ,LONG BEACH,90804,0,1.00 (1 0 0 0),,$500.00,,"$1,400","$1,400","$1,400",300,$4.67,1922,0,None,No,"1-Year,Negotiable",Unfurnished,714-625-7240,"2,700"
25560781,Apartment,1552,1552   Brockton Ave #8,Los Angeles,90025,0,1.00 (1 0 0 0),,,,"$1,495","$1,495","$1,495",300,$4.98,1960,0,Community,Call,1-Year,Unfurnished,213-713-0372,"6,990"
AR25152080MR,,105,105  N San Marino AVE ,PASADENA,91107,0,1.00 (0 1 0 0),,$0.00,,"$1,500","$1,500","$1,500",216,$6.94,1923,0,None,No,1-Year,Furnished,626-340-1866,"5,985"
MB25148684MR,,4644,4644  E 56th ST #A,MAYWOOD,90270,4,4.00 (4 0 0 0),,$0.00,,"$1,500","$1,500","$1,500","1,909",$0.79,1956,1,None,No,1-Year,Unfurnished,323-243-7092,"6,277"
IG25149428MR,Combo - Res &amp; Com,15714,15714   Amar RD ,LA PUENTE,91744,1,1.00 (1 0 0 0),,$0.00,75,"$1,550","$2,000","$1,550","1,740",$0.89,1999,0,None,,Other,Unfurnished,909-496-7145,"5,998"
SR25151236MR,Apartment,3819,3819   Stockbridge AVE ,LOS ANGELES,90032,1,1.00 (1 0 0 0),,$0.00,,"$1,600","$1,600","$1,600",630,$2.54,1962,1,Community,,1-Year,Unfurnished,818-482-7112,"19,411"
DW25147980MR,,3534,3534   Sanborn AVE ,LYNWOOD,90262,3,2.00 (2 0 0 0),,$0.00,,"$4,500",$0,"$1,600","1,400",$1.14,2025,0,Gas Or Electric Dryer Hookup,No,Negotiable,Furnished,,"16,200"
25560157,,1025,1025   LOCUST AVE #5,LONG BEACH,90813,0,1.00 (1 0 0 0),,$500.00,,"$1,625","$1,600","$1,625",630,$2.58,1920,0,None,Yes,Other,Unfurnished,310-995-1314,"7,354"
25560603,,1157,1157  S Hoover St #307,Los Angeles,90006,0,1.00 (1 0 0 0),,,,"$1,645","$1,000","$1,645",470,$3.50,,0,In Unit,Yes,1+Year,Unfurnished,213-751-4080,"12,704"
GD25150596IT,Apartment,131,131  S Jackson ST #204,GLENDALE,91205,0,1.00 (1 0 0 0),,$0.00,,"$1,650","$1,600","$1,650",500,$3.30,1926,0,"Community,Laundry Area",No,1-Year,Unfurnished,818-437-2433,"7,600"
WS25151014MR,,4465,4465   Turquoise  #4339,LOS ANGELES,90032,1,1.00 (1 0 0 0),,$0.00,,"$1,650","$1,650","$1,650",600,$2.75,1911,1,None,No,1-Year,Unfurnished,626-297-7936,"7,501"
SR25151118MR,,8851,8851   DORRINGTON AVE ,PACOIMA,91331,1,1.00 (0 1 0 0),,$750.00,150,"$1,695","$1,695","$1,695",633,$2.68,2024,0,In Kitchen,Yes,1-Year,Unfurnished,818-970-6786,"2,000"
25561981,,607,607  S Dunsmuir AVE #303,LOS ANGELES,90036,0,1.00 (1 0 0 0),,,,"$1,699","$1,699","$1,699",520,$3.27,1929,0,Community,Yes,12 Months,Unfurnished,310-710-9361,"7,801"
25560343,,615,615  N ROSSMORE AVE #203,LOS ANGELES,90004,1,1.00 (1 0 0 0),,,,"$1,699","$1,699","$1,699",550,$3.09,1946,0,None,Yes,1-Year,Unfurnished,310-710-9361,"9,946"
