MLS,Prop Subtype,St #,Address,City,Zip,BR,Baths(FTHQ),Other Deposit,Pet Deposit,Key Deposit,OLP,Security Deposit,LP,SqFt,LP $/SqFt,YB,# Prking Spaces,Laundry,Pets,Lease Terms,Furnished,Seller's Agent 1 Cell,Lot Sz
PV26055115MR,Single Family,707,707  N California ST ,BURBANK,91505,5,3.00 (3 0 0 0),,$0.00,,$750,$750,$750,"2,273",$0.33,1941,0,Laundry Area,No,1-Year,Unfurnished,310-428-3216,"6,912"
26666231,,122,122  S Ardmore Ave #1,Los Angeles,90004,1,0.00 (0 0 0 0),,,,$800,$500,$800,200,$4,1910,1,"Inside,Laundry Area",Call,"1+Year,1-Year",Furnished,213-512-7018,"8,010"
PW26053389MR,,14816,14816   Roxton  ,GARDENA,90249,1,1.00 (1 0 0 0),,$0.00,,"$1,100","$1,100","$1,100",350,$3.14,1944,0,None,No,1-Year,,562-355-6317,"5,494"
PV26054605MR,,200,200  W 37th  ,LONG BEACH,90807,4,4.00 (4 0 0 0),,$0.00,,"$1,150","$1,150","$1,150","2,100",$0.55,1962,0,In Kitchen,No,1-Year,Unfurnished,310-428-3216,"6,148"
OC26056526MR,,1596,1596  W 36th  ,LOS ANGELES,90018,1,1.00 (1 0 0 0),,$0.00,,"$1,250","$1,250","$1,250",756,$1.65,2025,2,Gas Dryer Hookup,,Month-to-Month,Furnished,626-233-3077,"6,800"
TR26055755MR,,2313,2313   Schoolside  ,MONTEREY PARK,91754,0,1.00 (1 0 0 0),,$0.00,,"$1,200","$2,000","$1,300",400,$3.25,1948,0,Outside,No,1-Year,Unfurnished,714-713-0469,"7,248"
26664797,,334,334  N Heliotrope Dr #309,Los Angeles,90004,0,1.00 (1 0 0 0),,,,"$1,395","$1,395","$1,395",400,$3.49,1925,0,Laundry Area,Yes,1+Year,Unfurnished,310-488-5459,"6,900"
CV26056817MR,,7958,7958   Hershey ST ,ROSEMEAD,91770,1,1.00 (0 1 0 0),,$0.00,,"$1,495","$1,495","$1,495",300,$4.98,1950,0,None,No,1-Year,Unfurnished,626-688-8567,
PW26055831MR,Apartment,406,406   Linden AVE #5,LONG BEACH,90802,0,1.00 (1 0 0 0),,$0.00,,"$1,495","$1,495","$1,495",400,$3.74,1917,0,Laundry Area,No,1-Year,Unfurnished,,"5,015"
SR26059519MR,Townhouse,6911,6911   Woodley  ,VAN NUYS,91406,0,1.00 (1 0 0 0),,$0.00,,"$1,495","$1,495","$1,495",500,$2.99,1978,1,Community,,1-Year,Unfurnished,818-620-2244,"14,005"
