MLS,Prop Subtype,St #,Address,City,Zip,BR,Baths(FTHQ),Other Deposit,Pet Deposit,Key Deposit,OLP,Security Deposit,LP,SqFt,LP $/SqFt,YB,# Prking Spaces,Laundry,Pets,Lease Terms,Furnished,Seller's Agent 1 Cell,Lot Sz
TR26171987MR,,2478,2478   Penmar AVE,VENICE,90291,4,4.00 (3 0 1 0),10,$0.00,,$999,$999,$999,"3,600",$0,2018,0,"Dryer,Dryer Included,Laundry Area,Washer,Washer Included",,Month-to-Month,Furnished,626-508-7777,"2,235"
26874509,,685,685  W Mission Blvd,Pomona,91766,1,1.00 (1 0 0 0),,,,"$1,050",$500,"$1,050",350,$3,1955,0,None,Call,"6 Months,Negotiable,Month-to-Month,12 Months,1+Year",Unfurnished,562-441-2753,"6,894"
26873649,,1305,1305  W 37th Pl #Room #3,Los Angeles,90007,1,1.00 (1 0 0 0),,,,"$1,050","$1,125","$1,050","2,134",$0.49,1951,2,"Laundry Area,In Unit,Inside",Call,"1+Year,1-Year,12 Months",Unfurnished,213-503-8070,"6,283"
SB26181490MR,,5360,5360   Long Beach,LONG BEACH,90805,0,1.00 (1 0 0 0),,$0.00,25,"$1,250","$1,200","$1,250",300,$4.17,1929,0,None,No,Other,,562-239-8819,"5,469"
26874297,,1036,1036  N Bonnie Brae St,Los Angeles,90026,0,1.00 (1 0 0 0),,,,"$1,299","$1,295","$1,299",,$0,,0,"Outside,Community",Call,1+Year,Unfurnished,310-924-7244,"8,150"
AR26173180MR,,2038,2038   Starhaven,DUARTE,91010,0,1.00 (1 0 0 0),,$0.00,75,"$1,350","$1,300","$1,350",300,$4.50,1951,0,None,No,1-Year,Unfurnished,626-253-3538,"7,253"
PW26167031MR,Apartment,551,551  W 10th ST #4,LONG BEACH,90813,0,1.00 (1 0 0 0),,$500.00,,"$1,375","$1,375","$1,375",600,$2,1923,0,None,,1-Year,Unfurnished,562-822-2853,"7,251"
PW26171956MR,Single Family,3700,3700  E Poppy ST,LONG BEACH,90805,3,3.00 (2 0 1 0),,$0.00,,"$1,400","$1,500","$1,400","1,637",$0.86,1957,2,"Dryer,Dryer Included,In Kitchen,Inside,Washer,Washer Included",No,Negotiable,Furnished,562-900-6540,"5,875"
MB26176376MR,Apartment,529,529  S Humphreys AVE #1/2,EAST LOS ANGELES,90022,0,1.00 (1 0 0 0),,$0.00,,"$1,400",$300,"$1,400",700,$2.00,1924,0,None,No,Month-to-Month,Unfurnished,323-490-9434,"10,249"
CV26173158MR,,11713,11713   Killian,EL MONTE,91732,1,1.00 (1 0 0 0),,$0.00,,"$1,450","$1,450","$1,450",250,$5.80,1965,0,Laundry Area,No,"1+Year,1-Year,Negotiable",Furnished,626-228-8485,"7,224"
SR26182763MR,Apartment,1145,1145  S New Hampshire  #5,LOS ANGELES,90006,0,1.00 (1 0 0 0),,$500.00,,"$1,450","$1,800","$1,450",450,$3.22,1929,0,Laundry Area,,1-Year,Unfurnished,818-383-5527,"5,469"
SR26174750MR,Apartment,1145,1145  S New Hampshire  #3,LOS ANGELES,90006,0,1.00 (1 0 0 0),,$500.00,,"$1,450","$1,800","$1,450",450,$3.22,1929,0,Laundry Area,,1-Year,Unfurnished,818-383-5527,"5,469"
SB26177834MR,Apartment,12926,12926   Doty AVE #23,HAWTHORNE,90250,0,1.00 (1 0 0 0),,$0.00,,"$1,450","$1,450","$1,450",283,$5,1962,1,Laundry Area,No,1-Year,Unfurnished,424-732-2821,"12,851"
PW26179404MR,Apartment,330,330   Cedar AVE #104,LONG BEACH,90802,0,1.00 (1 0 0 0),,$0.00,,"$1,495","$1,495","$1,495",300,$4.98,1915,0,Community,,1-Year,Unfurnished,,"14,055"
26873833,Apartment,11680,11680  W OHIO AVE #208,LOS ANGELES,90025,0,1.00 (1 0 0 0),,,,"$1,495","$1,495","$1,495",500,$2.99,1959,0,Community,Yes,1+Year,Unfurnished,310-438-5885,"7,000"
PW26182527MR,Apartment,330,330   Cedar AVE #203,LONG BEACH,90802,0,1.00 (1 0 0 0),,$0.00,,"$1,495","$1,495","$1,495",300,$4.98,1915,0,Community,,1-Year,Unfurnished,,"14,055"
PW26182531MR,Apartment,330,330   Cedar AVE #205,LONG BEACH,90802,0,1.00 (1 0 0 0),,$0.00,,"$1,495","$1,495","$1,495",400,$3.74,1915,0,Community,,1-Year,Unfurnished,,"14,055"
26873851,,7524,7524   Sepulveda Blvd #203,Los Angeles,91405,1,1.00 (1 0 0 0),,,,"$1,497","$1,497","$1,497",,$0.00,1963,0,Community,Call,1+Year,Unfurnished,310-710-0601,"13,333"
OC26176677MR,Apartment,8803,8803   hoover,LOS ANGELES,90044,0,1.00 (1 0 0 0),,$50.00,,"$1,500","$1,550","$1,500",350,$4.29,1940,1,None,Yes,1-Year,Unfurnished,714-856-1497,"1,948"
GD26180940IT,Single Family,18413,18413 1/2  Erwin ST,TARZANA,91335,0,1.00 (1 0 0 0),,$0.00,,"$1,500","$1,500","$1,500",400,$3.75,2025,0,None,,1-Year,Unfurnished,818-281-8812,"6,120"
26873101,,259,259  S Harvard Blvd #200,Los Angeles,90004,1,1.00 (1 0 0 0),,,,"$1,550","$1,550","$1,550",700,$2.21,1927,0,Community,Yes,1+Year,Unfurnished,310-818-3246,"7,373"
PW26179421MR,,419,419  S Guadalupe Ave,REDONDO BEACH,90277,0,1.00 (0 1 0 0),,$150.00,10,"$1,600","$1,600","$1,600",120,$13.33,1912,0,None,,1-Year,Unfurnished,310-975-5397,"2,900"
CV26173214MR,Apartment,1015,1015  N Azusa AVE #03,AZUSA,91702,0,1.00 (1 0 0 0),,$0.00,,"$1,645","$1,495","$1,645",390,$4.22,1955,0,Community,,"1-Year,Negotiable",Unfurnished,626-975-4104,390
DW26180306MR,,9808,9808  S Central,LOS ANGELES,90002,1,1.00 (1 0 0 0),,$395.00,,"$1,650",$395,"$1,650",500,$3.30,1949,0,None,,1-Year,Unfurnished,323-327-3330,"3,050"
26873001,Apartment,1306,1306 1/2 S Mansfield Ave,Los Angeles,90019,0,1.00 (0 1 0 0),,,,"$1,650","$1,650","$1,650",400,$4.13,1931,0,None,Call,1+Year,Unfurnished,310-590-9808,"7,038"
SR26170261MR,Apartment,337,337  S Occidental BLVD #18,LOS ANGELES,90057,1,1.00 (1 0 0 0),,$0.00,,"$1,650","$1,680","$1,650",620,$2.66,1953,0,Laundry Area,,Negotiable,Unfurnished,213-342-1004,"14,861"
26874681,Apartment,14108,14108   Doty Ave #31,Hawthorne,90250,0,1.00 (1 0 0 0),,,,"$1,650","$1,650","$1,650",375,$4.40,1971,1,"Room,Community",Yes,12 Months,Unfurnished,310-844-4812,"19,231"
SR26175550MR,Single Family,20509,20509   Vose unit 1/2,LOS ANGELES,91306,0,1.00 (1 0 0 0),,$0.00,,"$1,675","$1,675","$1,675",330,$5.08,2025,0,"Dryer,Dryer Included,In Kitchen,Inside,Laundry Closet Stacked,Stackable W/D Hookup,Washer,Washer Included",No,1-Year,Unfurnished,818-277-0008,400
SR26170253MR,Apartment,337,337  S Occidental BLVD #12,LOS ANGELES,90057,1,1.00 (1 0 0 0),,$0.00,,"$1,680","$1,680","$1,680",620,$3,1953,1,Laundry Area,,Negotiable,Unfurnished,213-342-1004,"14,861"
PW26180839MR,Apartment,115,115  E 12th  #4,LONG BEACH,90813,1,1.00 (1 0 0 0),,$0.00,50,"$1,695","$3,300","$1,695",750,$2.26,1921,0,None,,1-Year,Unfurnished,,"5,144"
26829637,,7925,7925   Vineland Ave #11,Los Angeles,91352,1,1.00 (1 0 0 0),,,,"$1,695","$1,695","$1,695",,$0.00,,1,Community,No,1-Year,Unfurnished,213-422-9176,"4,000"
