MLS,Prop Subtype,St #,Address,City,Zip,BR,Baths(FTHQ),Other Deposit,Pet Deposit,Key Deposit,OLP,Security Deposit,LP,SqFt,LP $/SqFt,YB,# Prking Spaces,Laundry,Pets,Lease Terms,Furnished,Seller's Agent 1 Cell,Lot Sz
CV25215420MR,,2148,2148   E  ,LA VERNE,91750,20,5.00 (5 0 0 0),,$0.00,,$785,$800,$785,"5,800",$0.14,1921,0,Laundry Area,No,1-Year,Unfurnished,909-731-5374,"5,188"
PW25215433MR,Apartment,1809,1809   4th ST #3,LONG BEACH,90802,0,1.00 (1 0 0 0),,$750.00,,"$1,395","$1,395","$1,395",375,$3.72,1951,0,Community,,1-Year,Unfurnished,562-481-7386,"3,484"
SR25217753MR,,5847,5847   Cherry Ave #B,LONG BEACH,90805,0,1.00 (1 0 0 0),,$0.00,,"$1,400","$1,400","$1,400",300,$4.67,1954,0,"Laundry Area,Other",,Month-to-Month,Unfurnished,818-858-4222,"3,520"
SR25214650MR,Apartment,1145,1145   New Hampshire ST ,LOS ANGELES,90006,0,1.00 (1 0 0 0),,$500.00,,"$1,450","$1,450","$1,450",450,$3.22,1929,0,None,,1-Year,Unfurnished,818-383-5527,"5,469"
25592077,,621,621  S Gramercy Pl #308,Los Angeles,90005,0,1.00 (1 0 0 0),,,,"$1,499","$1,499","$1,499",550,$2.73,1929,0,Community,Yes,12 Months,Unfurnished,310-710-9361,"11,201"
25591545,Apartment,920,920  S Hobart Blvd #210,Los Angeles,90006,0,1.00 (1 0 0 0),,,,"$1,500","$1,500","$1,500",500,$3,,0,Community,Yes,1+Year,Unfurnished,213-285-7934,"9,028"
IN25216049MR,Single Family,3248,3248   112TH  ,INGLEWOOD,90303,1,1.00 (1 0 0 0),,$500.00,50,"$1,500","$3,500","$1,500",250,$6,1942,1,None,,1-Year,Unfurnished,310-508-7155,"4,409"
25591765,,1823,1823   Colorado Blvd #11,Los Angeles,90041,1,1.00 (0 1 0 0),,,,"$1,599","$1,599","$1,599",500,$3.20,1920,1,None,Yes,"1+Year,1-Year",Unfurnished,310-488-4642,"12,132"
GD25217282IT,,1233,1233   Orange Grove AVE #B,GLENDALE,91205,0,1.00 (1 0 0 0),,$0.00,,"$1,600","$2,700","$1,600",365,$4.38,1921,0,Inside,No,1-Year,Unfurnished,818-437-2433,"6,596"
GD25217602IT,,1449,1449  E Garfield AVE #A,GLENDALE,91205,1,1.00 (1 0 0 0),,$0.00,,"$1,600","$1,600","$1,600",400,$4,1935,0,None,No,1-Year,Unfurnished,818-437-2433,"6,000"
