MLS,Prop Subtype,St #,Address,City,Zip,BR,Baths(FTHQ),Other Deposit,Pet Deposit,Key Deposit,OLP,Security Deposit,LP,SqFt,LP $/SqFt,YB,# Prking Spaces,Laundry,Pets,Lease Terms,Furnished,Seller's Agent 1 Cell,Lot Sz
25576971,,647,647   18th St #316,Los Angeles,90015,0,0.00 (0 0 0 0),,,,$795,$795,$795,,$0,,0,Community,Yes,12 Months,Unfurnished,310-488-5459,"25,000"
TR25175695MR,,651,651  S Oak tree DR ,COVINA,91723,1,1.00 (1 0 0 0),,$0.00,,"$1,100","$1,100","$1,100",650,$1.69,1976,0,"Dryer,Dryer Included,Washer,Washer Included",,1-Year,Furnished,909-282-0628,"6,202"
SB25177713MR,,1422,1422 1/2 W 84th PL ,LOS ANGELES,90047,0,1.00 (0 1 0 0),,$0.00,,"$1,195","$1,195","$1,195",400,$2.99,1939,0,None,No,1-Year,Unfurnished,310-968-7871,"6,677"
OC25178318MR,,2824,2824  E 10th ST ,LONG BEACH,90804,0,1.00 (1 0 0 0),,$250.00,,"$1,250","$1,250","$1,250",700,$1.79,1908,0,Inside,,Negotiable,Furnished,714-264-6619,"2,259"
25576955,,738,738   New Hampshire Ave #205,Los Angeles,90005,0,1.00 (1 0 0 0),,,,"$1,295","$1,295","$1,295",,$0,,0,Community,Yes,12 Months,Unfurnished,310-488-5459,"30,000"
MB25177626MR,Single Family,11503,11503   Tropico AVE ,WHITTIER,90604,4,3.00 (3 0 0 0),,$0.00,,"$1,300","$1,300","$1,300","2,543",$0.51,1966,0,Inside,No,"1-Year,Month-to-Month,Negotiable",Unfurnished,562-341-9781,"7,082"
25576833,,18321,18321   MALDEN ST #4,NORTHRIDGE,91325,0,1.00 (1 0 0 0),,,,"$1,359","$1,350","$1,359",400,$3.40,1959,0,Community,No,1-Year,Unfurnished,213-447-3973,"6,642"
LG25178093MR,,15826,15826  S Vermont AVE #2,GARDENA,90247,0,1.00 (0 1 0 0),,$0.00,,"$1,400","$1,400","$1,400",250,$5.60,2024,0,None,No,1-Year,Unfurnished,949-861-0738,
PW25180965MR,Apartment,823,823   N Gower  #1,LOS ANGELES,90038,25,25.00 (25 0 0 0),,$500.00,,"$1,475","$1,100","$1,475",555,$2.66,1929,0,Laundry Area,,"1+Year,1-Year",Unfurnished,323-506-4350,"13,068"
PF25181300PF,,4103,4103  S Normandie AVE ,LOS ANGELES,90037,4,4.00 (4 0 0 0),,$0.00,100,"$1,500","$1,500","$1,500","1,482",$1.01,2020,0,"Dryer,Dryer Included,Washer,Washer Included",No,1-Year,Furnished,626379-7266,"6,952"
WS25180297MR,,1108,1108  E Ranchcreek RD #B,COVINA,91724,0,1.00 (1 0 0 0),,$0.00,,"$1,500","$1,500","$1,500",375,$4,2020,0,None,No,1-Year,Unfurnished,626-367-4116,"8,753"
25575845,,5236,5236   Buffalo Ave ,Sherman Oaks,91401,0,1.00 (1 0 0 0),,,,"$1,500","$1,500","$1,500",,$0,,0,None,No,"1+Year,12 Months,Negotiable",Both,213-538-8949,230
25575883,,1222,1222  N Alexandria Ave ,Los Angeles,90029,1,1.00 (1 0 0 0),,,,"$1,500","$1,550","$1,500",250,$6,,0,In Unit,Yes,1+Year,Unfurnished,213-550-9009,"6,402"
SR25180871MR,,7826,7826   Topanga Canyon BLVD #74,CANOGA PARK,91304,2,2.00 (2 0 0 0),,$0.00,,"$1,550","$1,550","$1,550",905,$1.71,1986,1,Community,No,Month-to-Month,Furnished,818-217-6425,"96,193"
RS25178654MR,Apartment,1240,1240   Dawson AVE ,LONG BEACH,90804,0,1.00 (1 0 0 0),,$0.00,,"$1,600","$1,600","$1,600","3,890",$0.41,1922,0,"Community,Other",No,"1-Year,Month-to-Month",Unfurnished,323-598-7955,"6,497"
SR25178281MR,,2121,2121   James M Wood Blvd #417,LOS ANGELES,90006,0,1.00 (1 0 0 0),100,$400.00,,"$1,600","$1,600","$1,600",450,$3.56,1923,0,Inside,,1-Year,Unfurnished,818.485.4400,"21,307"
25575189,,5161,5161  S Vermont Ave #11,Los Angeles,90037,0,1.00 (1 0 0 0),,,,"$1,600","$1,600","$1,600",,$0,1922,1,None,Call,"1+Year,12 Months",Unfurnished,310-666-2246,0
GD25180268IT,,359,359  W Garfield AVE #A,GLENDALE,91204,0,1.00 (1 0 0 0),,$0.00,,"$1,650","$1,650","$1,650",400,$4.13,1921,0,Community,No,1-Year,Unfurnished,818-437-2433,"5,136"
PW25177652MR,,227,227 1/2  Granada AVE #2,LONG BEACH,90803,0,1.00 (1 0 0 0),,$0.00,,"$1,650","$1,675","$1,675",400,$4.19,1948,0,"Community,Dryer,Dryer Included,Room,Washer,Washer Included",No,1-Year,Unfurnished,562-477-1489,"2,627"
25576699,,419,419  N Virginia CT ,LONG BEACH,90802,1,1.00 (1 0 0 0),,,,"$1,695","$1,695","$1,695",750,$2.26,1919,0,"In Unit,Inside",Call,1+Year,Unfurnished,714-750-9558,"4,515"
DW25177277MR,Apartment,8106,8106   San Miguel AVE ,SOUTH GATE,90280,1,1.00 (1 0 0 0),,$0.00,,"$1,700","$1,700","$1,700",550,$3.09,1947,3,None,No,Month-to-Month,Unfurnished,562-480-3573,"7,198"
