MLS,Prop Subtype,St #,Address,City,Zip,BR,Baths(FTHQ),Other Deposit,Pet Deposit,Key Deposit,OLP,Security Deposit,LP,SqFt,LP $/SqFt,YB,# Prking Spaces,Laundry,Pets,Lease Terms,Furnished,Seller's Agent 1 Cell,Lot Sz
26991373,,800,800  S Burlington Ave,Los Angeles,90057,0,1.00 (1 0 0 0),,,,"$1,275","$1,275","$1,275","18,990",$0.07,1923,0,None,No,12 Months,Unfurnished,310-853-1703,"7,074"
26991351,,18366,18366   Collins St #213,Los Angeles,91356,0,1.00 (1 0 0 0),,,,"$1,395","$1,000","$1,395",400,$3.49,1971,0,Laundry Area,Call,"1+Year,12 Months,24 Months",Unfurnished,818-853-4929,"43,615"
SB26207402MR,,4015,4015  W 137th ST #112,HAWTHORNE,90250,0,1.00 (1 0 0 0),,$0.00,,"$1,495","$1,495","$1,495",610,$2.45,1972,1,Laundry Area,No,1-Year,Unfurnished,424-732-2821,"17,406"
PW26207217MR,Apartment,1708,1708   Pine AVE #1,LONG BEACH,90813,1,1.00 (1 0 0 0),,$0.00,,"$1,600","$1,600","$1,600",570,$2.81,1961,0,Laundry Area,,1-Year,Unfurnished,,"7,561"
26990695,,3640,3640   Wilshire Blvd #237,Los Angeles,90010,0,1.00 (1 0 0 0),,,,"$1,660",$800,"$1,660",482,$3.44,2017,1,"Inside,In Closet,In Unit",Yes,"1+Year,1-Year,12 Months",Unfurnished,213-421-4675,"41,918"
26990721,,1409,1409  S 12th  #A,Los Angeles,90019,1,1.00 (1 0 0 0),,,,"$1,795","$1,795","$1,700",,$0,,1,Laundry Area,Call,1+Year,Unfurnished,213-221-9318,"7,000"
SB26205558MR,Single Family,5718,5718   Linden,LONG BEACH,90805,0,1.00 (1 0 0 0),,$0.00,50,"$1,700","$1,700","$1,700",400,$4,1941,0,None,No,1-Year,Unfurnished,310-480-7043,"4,551"
BB26204510MR,Apartment,6819,6819   Whitsett  #105,LOS ANGELES,91605,1,1.00 (1 0 0 0),,$0.00,,"$1,700","$1,700","$1,700",700,$2.43,1987,1,"Community,Dryer,Dryer Included,Washer,Washer Included",No,Month-to-Month,Unfurnished,818-571-9059,"11,141"
26987691,,3817,3817  W 21st St,Los Angeles,90018,1,1.00 (1 0 0 0),,,,"$1,725","$1,725","$1,725",650,$2.65,1912,1,None,Call,1+Year,Unfurnished,310-993-4595,"7,481"
26990669,,2500,2500   Wilshire Blvd #1008,Los Angeles,90057,0,1.00 (1 0 0 0),,,,"$1,737",$800,"$1,737",503,$3.45,1969,1,"In Closet,In Unit",Yes,"1-Year,1+Year",Unfurnished,213-421-4675,"36,104"
