MLS,Prop Subtype,St #,Address,City,Zip,BR,Baths(FTHQ),Other Deposit,Pet Deposit,Key Deposit,OLP,Security Deposit,LP,SqFt,LP $/SqFt,YB,# Prking Spaces,Laundry,Pets,Lease Terms,Furnished,Seller's Agent 1 Cell,Lot Sz
AR26154026MR,Townhouse,4304,4304   walnut ST #3,BALDWIN PARK,91706,1,1.00 (1 0 0 0),,$0.00,,"$1,150","$1,150","$1,150",835,$1.38,1985,2,Inside,No,1-Year,Unfurnished,626-298-3820,"41,907"
SR26152010MR,,1686,1686   S RIMPAU BLVD #primary ro,LOS ANGELES,90019,1,1.00 (1 0 0 0),,$0.00,,"$1,295","$1,295","$1,295",210,$6.17,1923,1,None,No,1-Year,Unfurnished,747-206-6933,240
OC26151507MR,Apartment,1623,1623   Sherman PL #5,LONG BEACH,90804,1,1.00 (1 0 0 0),,$0.00,,"$1,450","$1,450","$1,450",340,$4.26,1923,0,None,,1-Year,Unfurnished,949-275-4440,"8,506"
26858581,,661,661   Shatto Pl #301,Los Angeles,90005,1,1.00 (1 0 0 0),,,,"$1,450","$1,450","$1,495",450,$3.32,1922,0,Community,Call,1-Year,Unfurnished,310-770-8815,"10,925"
26858907,,5347,5347   Monroe St #2,Los Angeles,90038,0,1.00 (1 0 0 0),,,,"$1,495","$1,495","$1,495",450,$3.32,1923,0,Community,No,1-Year,Unfurnished,818-599-5209,"3,003"
226003297VC,,13507,13507   Victory BLVD #5,VAN NUYS,91401,0,1.00 (1 0 0 0),,,,"$1,500","$1,500","$1,500",450,$3.33,1958,1,,Yes,,,,"13,356"
PW26143048MR,Single Family,14527,14527  S Berendo AVE ,GARDENA,90247,1,1.00 (1 0 0 0),,$200.00,,"$1,550","$1,550","$1,550",403,$3.85,1918,0,Inside,No,1-Year,Unfurnished,909-345-8461,"6,552"
26858679,Apartment,730,730  S Catalina St ,Los Angeles,90005,0,1.00 (1 0 0 0),,,,"$1,599","$1,599","$1,599",500,$3.20,1928,0,"Community,Laundry Area",No,1-Year,Unfurnished,818-640-3863,"7,253"
PW26151329MR,Apartment,1012,1012  S Electric LN #D,ALHAMBRA,91803,1,1.00 (1 0 0 0),,$0.00,,"$1,650","$1,650","$1,650",400,$4.13,1960,1,None,,1-Year,Unfurnished,951-963-4023,"6,082"
SR26151405MR,Single Family,3112,3112  W Avenue N  #B,PALMDALE,93551,1,1.00 (1 0 0 0),,$500.00,100,"$1,680","$2,690","$1,680",500,$3.36,1993,0,In Kitchen,,1-Year,,818-523-4582,"117,193"
26858787,Apartment,2219,2219  S Crenshaw Blvd #5,Los Angeles,90016,1,1.00 (1 0 0 0),,$500.00,,"$1,695","$1,695","$1,695",700,$2.42,1928,1,Community,Call,12 Months,Unfurnished,323-810-9854,"7,165"
SR26153138MR,Single Family,7912,7912   White Oak AVE #B,NORTHRIDGE,91325,1,1.00 (1 0 0 0),1700,$0.00,45,"$1,700","$1,700","$1,700",450,$3.78,1951,0,None,,1-Year,Unfurnished,818-523-4582,"6,000"
SR26153125MR,,22740,22740   Liberty Bell Rd ,CALABASAS,91302,0,1.00 (0 1 0 0),,$100.00,,"$1,700","$1,700","$1,700",350,$4.86,1964,0,"Dryer,Dryer Included,Washer,Washer Included",,"1+Year,1-Year",,818-825-2144,
SR26150825MR,Single Family,11725,11725   Brussels AVE ,SYLMAR,91342,0,1.00 (1 0 0 0),,$0.00,,"$1,700","$2,100","$1,700",577,$2.95,1984,0,None,,1-Year,Unfurnished,818-601-2479,"5,032"
26860363,,934,934 1/2 S Berendo St ,Los Angeles,90006,1,1.00 (1 0 0 0),,,,"$1,750","$1,750","$1,750",,$0,1923,0,None,Yes,1+Year,Unfurnished,310-309-0858,"4,201"
SR26154848MR,Single Family,7905,7905   White Oak  ,RESEDA,91335,1,1.00 (0 1 0 0),,$0.00,,"$1,750","$1,750","$1,750",350,$5,2024,0,Inside,,1-Year,Unfurnished,818-266-3214,"7,217"
SB26154318MR,,6510,6510   Mabrisa Ave #B,HUNTINGTON PARK,90255,1,1.00 (1 0 0 0),,$0.00,,"$1,750","$1,750","$1,750",700,$2.50,1961,1,None,No,1-Year,Unfurnished,310-357-0787,"8,000"
AR26154665MR,Apartment,316,316  N Alameda  #E,AZUSA,91702,1,1.00 (1 0 0 0),50,$50.00,25,"$1,750",$500,"$1,750",450,$3.89,1963,0,Laundry Area,Yes,1-Year,Unfurnished,626-272-5941,"6,945"
26859395,,4860,4860   Van Noord  ,Los Angeles,91423,1,1.00 (1 0 0 0),,,,"$1,770","$1,950","$1,770",,$0,,1,Other,No,1+Year,Unfurnished,323-907-0749,"3,000"
