MLS,Prop Subtype,St #,Address,City,Zip,BR,Baths(FTHQ),Other Deposit,Pet Deposit,Key Deposit,OLP,Security Deposit,LP,SqFt,LP $/SqFt,YB,# Prking Spaces,Laundry,Pets,Lease Terms,Furnished,Seller's Agent 1 Cell,Lot Sz
26833311,,2417,2417  S Budlong Ave #U#1 R#2,Los Angeles,90007,1,2.00 (1 0 0 1),,,,"$1,000","$1,000","$1,000",,$0,,1,"Community,Inside,Laundry Area,Laundry Closet Stacked,On Upper Level",Call,"1+Year,1-Year,12 Months",Unfurnished,213-503-8070,"6,752"
P1-27080PF,Condominium,567,567  S Wilton  #11,LOS ANGELES,90020,0,1.00 (1 0 0 0),,$0.00,,"$1,100","$1,100","$1,100",300,$3.67,1965,0,"Community,Laundry Area",No,1-Year,Unfurnished,(310) 429-2506,"14,749"
SR26100717MR,Combo - Res &amp; Com,3261,3261   City Terrace  #3257,LOS ANGELES,90063,0,1.00 (1 0 0 0),,$300.00,30,"$1,200","$1,200","$1,200",500,$2.40,1928,0,None,,1-Year,Unfurnished,,"4,867"
OC26101267MR,,5654,5654   La Mirada AVE ,LOS ANGELES,90038,1,1.00 (1 0 0 0),,$0.00,,"$1,250","$1,000","$1,250","9,424",$0.13,2025,0,Gas Dryer Hookup,Yes,"1+Year,1-Year",Furnished,626-233-3077,"7,502"
SR26101247MR,Single Family,18155,18155   Schoenborn  ,NORTHRIDGE,91325,3,2.00 (2 0 0 0),,$0.00,,"$1,350","$1,350","$1,350","1,842",$0.73,1956,0,None,No,1-Year,Furnished,323-854-5419,"8,141"
26830409,,1420,1420   Alvarado Ter #14,Los Angeles,90006,0,1.00 (1 0 0 0),,,,"$1,395","$1,395","$1,395",290,$4.81,1923,0,"Laundry Area,Community",Call,1+Year,Unfurnished,310-770-8815,"6,219"
SR26094165MR,Apartment,301,301   Witmer ST #202,LOS ANGELES,90017,0,1.00 (1 0 0 0),,$0.00,,"$1,399","$1,399","$1,399",350,$4.00,1924,0,None,No,1-Year,Unfurnished,818-438-4804,"6,599"
SR26055342MR,Apartment,5036,5036  W L-8 AVE #20,LANCASTER,93536,1,1.00 (1 0 0 0),,$0.00,,"$1,400","$1,400","$1,400",800,$1.75,1979,1,"Community,Laundry Area",,1-Year,Unfurnished,661-492-3801,"50,965"
SR26102661MR,Apartment,6745,6745   Laurel Canyon  #105,NORTH HOLLYWOOD,91606,1,1.00 (1 0 0 0),,$300.00,30,"$1,500","$1,500","$1,500",500,$3,1985,1,None,,1-Year,Unfurnished,,"5,751"
OC26101077MR,Apartment,1234,1234   Raymond AVE ,LONG BEACH,90804,1,1.00 (1 0 0 0),,$0.00,,"$1,650","$1,550","$1,550",310,$5,1922,0,None,,1-Year,Unfurnished,949-275-4440,"4,020"
SR26103614MR,,39312,39312   Dunbar ST #B,PALMDALE,93551,1,1.00 (1 0 0 0),,$0.00,,"$1,600","$1,600","$1,600",400,$4,2025,0,None,,1-Year,Unfurnished,818-402-4266,"7,053"
26831991,,615,615  N Rossmore Ave #200,Los Angeles,90004,1,1.00 (1 0 0 0),,,,"$1,599","$1,650","$1,650",550,$3,1946,0,None,Yes,12 Months,Unfurnished,310-818-3246,"9,933"
PW26100652MR,Apartment,1708,1708   Pine AVE #3,LONG BEACH,90813,1,1.00 (1 0 0 0),,$0.00,,"$1,650","$1,650","$1,650",570,$2.89,1961,0,Laundry Area,,1-Year,Unfurnished,,"7,561"
26832871,Apartment,611,611  S Cloverdale Ave #106,Los Angeles,90036,0,1.00 (1 0 0 0),,,,"$1,690","$1,690","$1,690",400,$4.23,1929,0,Community,Call,"1-Year,1+Year,12 Months",Unfurnished,323-823-8797,"7,805"
26833195,Apartment,1104,1104  W 93rd St #3,Los Angeles,90044,1,1.00 (1 0 0 0),,$200.00,,"$1,695","$1,695","$1,695",700,$2.42,1951,1,None,Yes,1-Year,Unfurnished,909-900-8842,700
26830013,Apartment,1238,1238  S Beverly Glen Blvd #14,Los Angeles,90024,0,1.00 (0 1 0 0),,,,"$1,700","$1,700","$1,700",400,$4.25,1946,0,Community,Call,"1+Year,Negotiable",Unfurnished,310-808-7616,"7,834"
26832443,Apartment,164,164   Chestnut St #205,Pasadena,91103,1,1.00 (1 0 0 0),,,,"$1,709","$1,709","$1,709",594,$2.88,2025,0,"In Unit,Inside,Laundry Area,Laundry Closet Stacked",Call,"1+Year,12 Months",Both,424-248-5426,"10,015"
26832431,Apartment,10540,10540   Balboa Blvd #111,Granada Hills,91344,1,1.00 (1 0 0 0),,,,"$1,750","$1,750","$1,750",500,$3.50,1977,1,"Community,Laundry Area,Room",No,12 Months,Unfurnished,310-826-5595,"53,308"
SB26099637MR,Apartment,26027,26027   Narbonne AVE #A,LOMITA,90717,1,1.00 (1 0 0 0),,$0.00,,"$1,750","$1,750","$1,750",600,$2.92,1936,1,None,No,1-Year,Unfurnished,424-732-2821,"13,167"
SB26100597MR,Apartment,3444,3444   Redondo Beach BLVD #3,TORRANCE,90504,1,1.00 (1 0 0 0),,$0.00,,"$1,795","$1,795","$1,795",668,$2.69,1956,1,None,No,1-Year,Unfurnished,424-732-2821,"6,483"
SB26100896MR,Apartment,4307,4307  W 142nd ST #9,HAWTHORNE,90250,1,1.00 (1 0 0 0),,$0.00,,"$1,795","$1,795","$1,795",525,$3.42,1986,1,Laundry Area,No,1-Year,Unfurnished,424-732-2821,"11,698"
SR26099185MR,,5940,5940   Simpson Ave ,VALLEY VILLAGE,91607,0,1.00 (1 0 0 0),,$0.00,100,"$1,800","$1,800","$1,800",369,$4.88,1943,0,None,No,1-Year,Unfurnished,818-209-8323,"6,242"
PW26103041MR,Apartment,913,913   Mariposa ST #9,GLENDALE,91205,1,1.00 (1 0 0 0),,$0.00,100,"$1,850","$1,850","$1,850",700,$2.64,1957,1,Community,No,1-Year,Unfurnished,714-473-0777,"10,924"
SR26103511MR,,17134,17134   Saticoy ST ,LAKE BALBOA,91406,1,1.00 (1 0 0 0),150,$0.00,,"$1,850","$1,850","$1,850",526,$3.52,2018,2,Community,No,1-Year,Unfurnished,818-335-1239,"1,000"
BB26102563MR,,7042,7042   White Oak  ,VAN NUYS,91406,0,1.00 (1 0 0 0),,$500.00,,"$1,850","$1,000","$1,850",425,$4.35,1962,1,Inside,,"1+Year,1-Year",Unfurnished,818-818-0351,"6,628"
26832939,,3925,3925  S Normandie Ave ,Los Angeles,90037,1,1.00 (1 0 0 0),,,,"$1,950","$1,850","$1,850",650,$2.85,1954,0,None,Yes,"1+Year,1-Year,12 Months",Unfurnished,323-356-0347,"5,626"
26829483,Apartment,1238,1238  S Beverly Glen Blvd #12,Los Angeles,90024,0,1.00 (0 1 0 0),,,,"$1,850","$1,850","$1,850",450,$4.11,1946,0,Community,Call,"1+Year,Negotiable",Both,310-808-7616,"7,834"
SR26102151MR,Apartment,18657,18657   Collins ST #4,TARZANA,91356,1,1.00 (1 0 0 0),,$0.00,,"$1,850","$1,850","$1,850",700,$2.64,1963,2,"Community,Laundry Area",,1-Year,Unfurnished,323-479-4389,"21,487"
WS26101194MR,Apartment,400,400  W Atlantic BLVD #B,ALHAMBRA,91801,1,1.00 (1 0 0 0),,$0.00,,"$1,850","$1,850","$1,850",600,$3.08,1950,0,Laundry Area,No,1-Year,Unfurnished,626-321-0311,"13,094"
26831773,,6206,6206   Mayfield Ave ,La Crescenta,91214,1,1.00 (1 0 0 0),,,,"$1,870","$1,870","$1,870",400,$4.68,1950,1,Laundry Area,Call,1+Year,Unfurnished,213-435-0073,"7,692"
26831759,Apartment,1010,1010  N Stanley Ave #8,Los Angeles,90046,1,1.00 (1 0 0 0),,,,"$1,875","$1,875","$1,875",800,$2.34,1956,0,Community,Call,1+Year,Unfurnished,323-244-6157,"6,482"
26832867,Apartment,611,611  S Cloverdale Ave #305,Los Angeles,90036,0,1.00 (1 0 0 0),,,,"$1,890","$1,890","$1,890",440,$4.30,1929,0,Community,Yes,"1-Year,1+Year,12 Months",Unfurnished,323-823-8797,"7,805"
SR26102654MR,Apartment,262,262  E 79th  ,LOS ANGELES,90003,1,1.00 (1 0 0 0),,$0.00,,"$1,895","$1,895","$1,895",500,$3.79,1955,1,None,,1-Year,Unfurnished,818-620-2244,"6,201"
SR26102621MR,Apartment,258,258  E 79th  ,LOS ANGELES,90003,1,1.00 (1 0 0 0),,$0.00,,"$1,895","$1,895","$1,895",500,$3.79,1955,1,None,,1-Year,Unfurnished,818-620-2244,"6,201"
SR26102147MR,Single Family,7017,7017   Mary Ellen  ,NORTH HOLLYWOOD,91605,0,1.00 (1 0 0 0),,$0.00,,"$1,900","$1,900","$1,900",400,$4.75,1956,0,None,No,1-Year,Unfurnished,818-414-1555,"6,085"
GD26101053IT,,6440,6440   Lindley AVE ,RESEDA,91335,0,1.00 (1 0 0 0),,$0.00,,"$1,900","$1,900","$1,900",350,$5.43,2026,1,"Laundry Closet Stacked,Outside,Stackable W/D Hookup",,1-Year,Furnished,818-625-2423,"6,159"
PW26099941MR,Apartment,1827,1827  E 4th ST #14,LONG BEACH,90802,0,1.00 (1 0 0 0),,$500.00,,"$1,900","$1,500","$1,900",550,$3.45,2024,0,"Dryer,Dryer Included,Washer,Washer Included",,1-Year,Unfurnished,562-760-9447,"8,767"
26831891,,10103,10103   Washington St  #C,Bellflower,90706,1,1.00 (1 0 0 0),,,,"$1,900","$1,900","$1,900",458,$4.15,,1,Community,Call,1+Year,Both,714-742-5315,"7,840"
26831877,,10103,10103   Washington St  #B,Bellflower,90706,1,1.00 (1 0 0 0),,$500.00,,"$1,900","$1,900","$1,900",407,$4.67,,1,Community,Call,1+Year,Both,714-742-5315,"7,840"
26829733,,1842,1842  E 71st St ,Los Angeles,90001,1,1.00 (1 0 0 0),,,,"$1,950","$1,950","$1,950",0,$0,1920,0,None,No,1+Year,Unfurnished,310-663-8200,"5,724"
26831563,Apartment,1519,1519  W 30th St #1,Los Angeles,90007,1,1.00 (1 0 0 0),,,,"$1,950","$1,950","$1,950","4,800",$0.41,1924,8,None,No,1-Year,Unfurnished,,"5,632"
WS26101337MR,Apartment,119,119   Acacia Ave ,MONROVIA,91016,1,1.00 (0 1 0 0),,$500.00,,"$1,975","$1,975","$1,975",650,$3.04,1927,1,None,,1-Year,Unfurnished,626-557-9914,"17,000"
PW26097832MR,Apartment,537,537  S 6th  #B,MONTEBELLO,90640,1,1.00 (1 0 0 0),,$0.00,125,"$1,983","$1,983","$1,983",550,$3.61,1960,2,Other,,1-Year,Unfurnished,714-926-7834,550
SR26101100MR,Condominium,345,345  S Alexandria  ,LOS ANGELES,90020,1,1.00 (1 0 0 0),,$0.00,200,"$1,995","$1,995","$1,995",560,$3.56,1989,0,Community,No,1-Year,Unfurnished,818-235-8374,"41,545"
26833007,,1261,1261  N Laurel Ave #20,Los Angeles,90046,0,1.00 (1 0 0 0),,,,"$1,995","$1,995","$1,995",550,$3.63,1960,1,Community,Yes,1+Year,Unfurnished,310-433-4946,"15,146"
SR26102787MR,,6114,6114   Gifford AVE #C,HUNTINGTON PARK,90255,1,1.00 (1 0 0 0),,$750.00,150,"$1,995","$1,995","$1,995",560,$3.56,1940,0,"Gas Or Electric Dryer Hookup,Washer Hookup",Yes,1-Year,Unfurnished,818-970-6786,"5,841"
CV26102758MR,,2318,2318 1/2  5th ST ,LA VERNE,91750,1,1.00 (1 0 0 0),,$0.00,50,"$1,995","$1,950","$1,995",600,$3.33,1996,1,Room,,1-Year,Unfurnished,951-897-4322,"6,980"
BB26102207MR,Condominium,13050,13050   Dronfield  ,SYLMAR,91342,1,1.00 (1 0 0 0),,$0.00,,"$1,995","$2,000","$1,995",599,$3.33,1964,0,Laundry Area,,"1+Year,1-Year,Month-to-Month,Negotiable,Other",Unfurnished,310-766-7342,"51,278"
TR26102688MR,Condominium,25,25   Carriage WAY ,POMONA,91766,1,1.00 (1 0 0 0),,$0.00,,"$1,995","$1,995","$1,995",754,$2.65,1983,2,Inside,,1-Year,Unfurnished,,"116,311"
DW26103211MR,,7934,7934   NEWLIN AVE #2,WHITTIER,90602,1,1.00 (1 0 0 0),,$0.00,,"$1,995","$1,200","$1,995",625,$3.19,1947,0,In Carport,No,1-Year,Unfurnished,,"6,200"
RS26102447MR,Condominium,15220,15220   Ocaso  ,LA MIRADA,90638,1,1.00 (1 0 0 0),,$250.00,,"$1,995","$1,895","$1,995",634,$3.15,1972,0,Community,,1-Year,Unfurnished,562 618-7801,"311,648"
PW26099613MR,,1215,1215   1/2 W104th  ,LOS ANGELES,90044,1,1.00 (1 0 0 0),2100,$200.00,,"$2,100","$2,100","$1,999",500,$4.00,2025,0,In Kitchen,,1-Year,Unfurnished,310-621-9947,"9,500"
26831143,,11472,11472   VENTURA  #E,STUDIO CITY,91604,1,1.00 (1 0 0 0),,,,"$1,999","$1,999","$1,999",400,$5.00,1941,1,None,Call,1+Year,Unfurnished,818-640-3863,"6,248"
DW26103818MR,,5413,5413   Pelleur  #B,LYNWOOD,90262,2,1.00 (1 0 0 0),,$25.00,,"$2,000","$2,000","$2,000",611,$3.27,1959,0,"Electric Dryer Hookup,Hookup - Electric",,1-Year,Unfurnished,562-595-2416,"6,736"
LG26101017MR,,1980,1980   Stanley  ,SIGNAL HILL,90755,1,1.00 (1 0 0 0),,$0.00,,"$2,000","$2,000","$2,000",410,$4.88,1953,0,Community,,Month-to-Month,Unfurnished,949-861-0738,"5,507"
SR26101123MR,Single Family,8447,8447   Colbath AVE ,PANORAMA CITY,91402,1,1.00 (1 0 0 0),,$0.00,,"$2,000","$2,000","$2,000",480,$4.17,1949,0,Inside,No,1-Year,Unfurnished,818-231-1735,"6,168"
WS26100121MR,Apartment,461,461  S Savannah St ,LOS ANGELES,90033,2,1.00 (1 0 0 0),,$500.00,,"$2,050","$2,050","$2,050",660,$3.11,1962,1,Laundry Area,,1-Year,Unfurnished,626-557-9914,"5,841"
SR26101554MR,Apartment,3370,3370   Barham BLVD ,HOLLYWOOD HILLS EAST,90068,1,1.00 (1 0 0 0),,$0.00,,"$2,050","$2,500","$2,050",700,$2.93,1950,1,None,,1-Year,Unfurnished,818-402-4175,"7,014"
SB26101137MR,Apartment,5621,5621   Edgemar AVE ,LOS ANGELES,90043,1,1.00 (1 0 0 0),,$350.00,,"$2,050","$2,500","$2,050","1,000",$2.05,1959,0,Outside,Yes,1-Year,Unfurnished,310-291-6466,"7,756"
