MLS,Prop Subtype,St #,Address,City,Zip,BR,Baths(FTHQ),Other Deposit,Pet Deposit,Key Deposit,OLP,Security Deposit,LP,SqFt,LP $/SqFt,YB,# Prking Spaces,Laundry,Pets,Lease Terms,Furnished,Seller's Agent 1 Cell,Lot Sz
SR26203128MR,Apartment,14638,14638   Erwin ST #2,VAN NUYS,91411,0,1.00 (1 0 0 0),,$0.00,,"$1,395","$1,395","$1,395",450,$3.10,1958,0,Community,,1-Year,Unfurnished,213-422-7133,"6,756"
PF26199909PF,Apartment,14154,14154   Roscoe,LOS ANGELES,91402,10,8.00 (8 0 0 0),,$250.00,35,"$1,425","$1,425","$1,425","5,565",$0.26,1950,0,Community,,1-Year,Unfurnished,949-220-4538,"8,402"
26987469,,537,537  S Kenmore Ave #400,Los Angeles,90020,1,1.00 (1 0 0 0),,,,"$1,450","$1,450","$1,450",450,$3.22,1926,0,None,Yes,12 Months,Unfurnished,310-818-3246,"8,545"
26989009,,1170,1170   Crenshaw Blvd,Los Angeles,90019,0,1.00 (1 0 0 0),,,,"$1,495","$1,495","$1,495",500,$2.99,1964,1,"Laundry Area,Outside",Yes,"1+Year,1-Year",Unfurnished,310-765-7447,"7,400"
GD26201135IT,Apartment,5662,5662   Fountain,LOS ANGELES,90028,1,1.00 (1 0 0 0),,$0.00,,"$1,495","$1,495","$1,495",750,$1.99,1953,1,None,,1-Year,Unfurnished,626-657-7575,"7,502"
26988079,,6859,6859   Laurel Canyon Blvd #210,Los Angeles,91605,1,1.00 (1 0 0 0),,,,"$1,495","$1,495","$1,495",756,$2,1984,0,Laundry Area,Call,"1+Year,1-Year,12 Months,6 Months",Unfurnished,818-853-4929,"9,434"
26987227,,1811,1811   Wilcox Ave #9,Hollywood,90028,0,1.00 (1 0 0 0),,,,"$1,500","$1,500","$1,500",544,$3,,0,None,Call,1+Year,Unfurnished,323-443-6005,0
SB26202450MR,Apartment,1658,1658   Colby AVE #7,LOS ANGELES,90025,0,1.00 (1 0 0 0),,$0.00,,"$1,500","$1,500","$1,500",300,$5.00,1967,0,Laundry Area,No,1-Year,Unfurnished,310-386-3138,"5,500"
26988361,,925,925  S Hobart Blvd #1/2,Los Angeles,90006,0,1.00 (1 0 0 0),,,,"$1,535","$1,535","$1,535","7,951",$0.19,1939,0,None,Yes,"1-Year,Renewal Options",Unfurnished,213-222-7574,"8,492"
SR26200927MR,Single Family,7345,7345   Jamieson AVE,RESEDA,91335,0,1.00 (1 0 0 0),,$0.00,,"$1,550","$1,550","$1,550",400,$3.88,1957,1,"Inside,Laundry Closet Stacked,Stackable W/D Hookup",,1-Year,Unfurnished,818-371-9283,"8,381"
26987391,,1047,1047   Irolo St #200,Los Angeles,90006,0,1.00 (0 0 1 0),,,,"$1,595","$1,595","$1,595",500,$3.19,1926,0,Community,No,12 Months,Unfurnished,818-599-5209,"5,903"
26988231,Apartment,1333,1333   Barry Ave #8,Los Angeles,90025,0,1.00 (1 0 0 0),,,,"$1,595","$1,595","$1,595",230,$6.93,1958,0,Community,Call,"1+Year,12 Months",Unfurnished,424-258-4651,"7,002"
26987693,,11472,11472   VENTURA  #4,STUDIO CITY,91604,0,1.00 (1 0 0 0),,,,"$1,599","$1,599","$1,599",380,$4.21,1941,1,None,Yes,1+Year,Unfurnished,818-640-3863,"6,248"
DW26196006MR,Apartment,6325,6325  S Figueroa ST,LOS ANGELES,90003,12,10.00 (10 0 0 0),100,$200.00,100,"$1,600","$1,600","$1,600","6,600",$0.24,1923,0,None,,1-Year,Unfurnished,213-432-1959,"9,610"
RS26201951MR,Condominium,360,360  W Ocean  #205,LONG BEACH,90802,0,1.00 (1 0 0 0),,$0.00,,"$1,650","$1,650","$1,650",347,$4.76,1922,0,Community,No,1-Year,Unfurnished,714-803-7542,"7,371"
226004373VC,Single Family,19153,19153   Sylvan ST,TARZANA,91335,1,1.00 (1 0 0 0),,,,"$1,675","$2,500","$1,675",333,$5.03,,0,Outside,,,,,
GD26202939IT,Apartment,1422,1422  N Curson AVE #1,LOS ANGELES,90046,1,1.00 (1 0 0 0),,$0.00,,"$1,695","$1,950","$1,695",600,$2.83,1963,0,"Community,Laundry Area",,1-Year,Unfurnished,818-437-2433,"18,053"
26988233,,16141,16141   Vanowen St #3,Los Angeles,91406,1,1.00 (1 0 0 0),,,,"$1,695","$1,000","$1,695",764,$2.22,1970,0,"Laundry Area,Community,Other,Outside",Call,"1+Year,1-Year,12 Months,24 Months",Unfurnished,818-853-4929,"37,632"
26988607,,1860,1860  N Alexandria Ave ##1876,Los Angeles,90027,0,1.00 (1 0 0 0),,$0.00,,"$1,695","$1,695","$1,695",550,$3.08,1951,0,Community,Yes,1-Year,Unfurnished,310-666-9682,"10,497"
SB26203001MR,Apartment,1637,1637  W 227th ST #13,TORRANCE,90501,1,1.00 (1 0 0 0),,$0.00,,"$1,695","$1,695","$1,695",600,$2.83,1978,1,Laundry Area,,1-Year,Unfurnished,424-732-2821,"14,404"
WS26202467MR,Apartment,1050,1050   College View DR #7,MONTEREY PARK,91754,1,1.00 (1 0 0 0),,$0.00,,"$1,700","$1,650","$1,700",700,$2.43,1959,0,Laundry Area,No,1-Year,Unfurnished,626-251-7817,"16,210"
BB26201579MR,Single Family,15746,15746 1/2  Magnolia BLVD #JADU,ENCINO,91436,1,1.00 (1 0 0 0),,$0.00,,"$1,745","$1,745","$1,745",500,$3.49,2025,0,"Dryer,Dryer Included,Washer,Washer Included",No,1-Year,Unfurnished,818-645-3134,"7,887"
26987383,Apartment,10540,10540   Balboa Blvd #117,Granada Hills,91344,1,1.00 (1 0 0 0),,,,"$1,750","$1,750","$1,750",600,$2.92,1977,1,"Community,Inside,Laundry Area",No,12 Months,Unfurnished,3105694519,"53,308"
SB26201122MR,Apartment,3656,3656   Garnet ST #344,TORRANCE,90503,0,1.00 (1 0 0 0),,$0.00,,"$1,750","$1,750","$1,750",371,$4.72,1969,1,Laundry Area,No,1-Year,Unfurnished,424-732-2821,"81,808"
26986035,,443,443  S Wilton Pl #19,Los Angeles,90020,1,1.00 (1 0 0 0),,,,"$1,750","$1,750","$1,750",,$0.00,1957,1,Community,Call,"1+Year,Negotiable",Unfurnished,213-999-4345,"19,907"
26989097,,428,428  S Grand View St,Los Angeles,90057,1,1.00 (1 0 0 0),,,,"$1,790","$1,790","$1,790",,$0.00,,1,Outside,Yes,1+Year,Unfurnished,310-923-2898,"50,000"
26989363,,727,727  S Gramercy #d Pl,Los Angeles,90005,0,1.00 (0 1 0 0),,,,"$1,790","$1,800","$1,790",450,$4,2000,1,In Unit,Yes,1+Year,Unfurnished,213-400-5252,"5,158"
SB26201099MR,Apartment,3710,3710   Garnet ST #206,TORRANCE,90503,0,1.00 (1 0 0 0),,$0.00,,"$1,795","$1,795","$1,795",415,$4.33,1968,1,Laundry Area,No,1-Year,Unfurnished,424-732-2821,"42,403"
PW26201737MR,Apartment,502,502   E 5th St,LONG BEACH,90802,0,1.00 (1 0 0 0),,$0.00,,"$1,800","$1,500","$1,800",500,$3.60,1948,0,"Dryer,Dryer Included,Washer,Washer Included",,1-Year,Unfurnished,562-760-9447,"7,506"
26988001,Apartment,4044,4044   Woodlawn Ave,Los Angeles,90011,1,1.00 (1 0 0 0),,,,"$1,800","$1,800","$1,800",500,$4,1913,1,None,No,1+Year,Unfurnished,213-216-5553,"7,127"
SR26200779MR,Single Family,7101,7101   Scarborough Peak,WEST HILLS,91307,1,1.00 (1 0 0 0),,$500.00,,"$1,800","$1,995","$1,800",480,$3.75,1964,0,None,,1-Year,Furnished,818-235-8374,"17,462"
PW26202096MR,,4509,4509  S Kansas Ave,LOS ANGELES,90037,1,1.00 (1 0 0 0),,$0.00,,"$1,800","$1,800","$1,800",621,$2.90,2022,0,Gas Dryer Hookup,,1-Year,Unfurnished,949-556-6131,"7,430"
26987127,,3221,3221  W 71st St,Los Angeles,90043,1,1.00 (1 0 0 0),,,,"$1,850","$1,950","$1,850",405,$4.57,2026,0,None,Call,1+Year,Unfurnished,213-259-5283,"6,492"
WS26199990MR,Apartment,16,16  W Grand AVE #C,ALHAMBRA,91801,1,1.00 (1 0 0 0),,$0.00,,"$1,850","$1,850","$1,850",650,$2.85,1950,1,Community,No,"1-Year,Month-to-Month",Unfurnished,626-705-2747,"9,143"
AR26199169MR,Single Family,1165,1165   Poppy CT,MONTEBELLO,90640,1,1.00 (1 0 0 0),,$0.00,,"$1,850","$1,850","$1,850",700,$3,2023,2,Garage,No,"Month-to-Month,Negotiable",Furnished,702-588-1080,"8,703"
26988527,,810,810  W 62nd St #1,Los Angeles,90044,1,1.00 (1 0 0 0),,,,"$1,850","$1,850","$1,850",546,$3.39,1953,1,None,Call,"12 Months,1-Year",Unfurnished,213-590-9908,"5,520"
DW26202230MR,Single Family,2111,2111   Vallecito DR #5,HACIENDA HEIGHTS,91745,1,1.00 (1 0 0 0),,$0.00,150,"$1,850","$1,850","$1,850",420,$4.40,1926,1,Community,No,"1-Year,Month-to-Month",Unfurnished,323-216-0951,"106,432"
SB26202709MR,Apartment,519,519  S Columbus AVE,GLENDALE,91204,1,1.00 (1 0 0 0),,$0.00,,"$1,895","$1,895","$1,895",668,$2.84,1922,1,None,No,1-Year,Unfurnished,424-732-2821,"8,668"
AR26200473MR,,805,805  S 8th ST #B,ALHAMBRA,91801,1,1.00 (1 0 0 0),,$0.00,,"$1,895","$1,895","$1,895",750,$2.53,1963,0,"Gas Dryer Hookup,Washer Hookup",No,1-Year,Unfurnished,626-644-1547,"11,385"
26987953,,54,54   Rose Ave #7,Venice,90291,0,1.00 (1 0 0 0),,,,"$1,995","$1,895","$1,895",,$0.00,,0,Community,No,12 Months,Unfurnished,310-853-1703,0
26987329,,917,917  N Cedar St #2,Inglewood,90302,1,1.00 (1 0 0 0),,,,"$1,895","$1,895","$1,895",700,$2.71,1957,1,"In Unit,Inside",Call,"1+Year,1-Year,12 Months",Unfurnished,310-384-6838,"6,253"
OC26198824MR,Condominium,1430,1430  W Lambert RD #382,LA HABRA,90631,1,1.00 (1 0 0 0),,$0.00,,"$1,895","$1,895","$1,895",640,$2.96,1971,1,Community,No,"1+Year,1-Year",Unfurnished,949-216-8200,0
SR26203012MR,Condominium,919,919  N Orange Grove AVE #5,LOS ANGELES,90046,1,1.00 (1 0 0 0),,$499.00,,"$1,895","$1,895","$1,895",875,$2.17,1956,0,"Community,Laundry Area",,1-Year,Unfurnished,818-339-4192,"5,899"
SR26198680MR,Apartment,2408,2408  W 85th  #2410,INGLEWOOD,90305,1,1.00 (1 0 0 0),,$0.00,,"$1,900","$1,800","$1,900",900,$2.11,1947,0,None,,1-Year,Unfurnished,818-200-5538,"6,905"
SR26203233MR,,7031,7031   Bellaire Ave,NORTH HOLLYWOOD,91605,1,1.00 (1 0 0 0),,$500.00,25,"$1,900","$1,900","$1,900",400,$4.75,1958,0,None,Yes,"1-Year,Negotiable,Other",Unfurnished,661-414-2318,"6,190"
SB26201255MR,Condominium,15000,15000   Downey AVE #337,PARAMOUNT,90723,1,1.00 (1 0 0 0),,$500.00,,"$1,900","$1,750","$1,900",630,$3.02,1991,0,Inside,Yes,1-Year,Unfurnished,310-291-6466,"152,602"
SR26203014MR,Single Family,18760,18760   Welby Way,RESEDA,91335,1,1.00 (1 0 0 0),,$0.00,,"$1,900","$1,900","$1,900",470,$4.04,2020,0,"Dryer,Dryer Included,Room,Washer,Washer Included",Yes,1-Year,Furnished,818-447-2495,"7,000"
WS26201458MR,,608,608  S Electric  #6,ALHAMBRA,91803,2,1.00 (1 0 0 0),,$800.00,100,"$1,950","$1,950","$1,950",432,$4.51,1924,1,"Gas Dryer Hookup,Inside,Washer Hookup",,1-Year,Unfurnished,626-632-5037,"7,953"
SB26201551MR,Apartment,2437,2437   Exposition PL #3,LOS ANGELES,90018,1,1.00 (1 0 0 0),,$0.00,,"$1,950","$1,950","$1,950",525,$3.71,1958,0,"Gas Dryer Hookup,Washer Hookup",No,1-Year,Unfurnished,310-974-0300,"4,529"
SR26199286MR,Condominium,10850,10850   Landale St,NORTH HOLLYWOOD,91602,1,1.00 (1 0 0 0),,$500.00,,"$1,950","$1,950","$1,950",520,$3.75,1979,0,Outside,,1-Year,Unfurnished,323-645-6422,"304,571,520"
SB26201973MR,,2265,2265  W 236th,TORRANCE,90501,0,1.00 (1 0 0 0),,$0.00,,"$1,975","$1,975","$1,975",400,$4.94,1955,0,None,No,1-Year,Furnished,424-519-4638,"5,311"
26988477,,361,361  S DETROIT ST #401,LOS ANGELES,90036,1,1.00 (1 0 0 0),,,,"$1,975","$1,975","$1,975",600,$3.29,1928,0,Community,Call,1-Year,Unfurnished,818-223-1750,"7,803"
NDP2608650MR,Single Family,13009,13009   Debby ST,VALLEY GLEN,91401,1,1.00 (1 0 0 0),,$500.00,,"$1,995","$1,995","$1,995",400,$4.99,2022,0,"Dryer,Dryer Included,Gas Dryer Hookup,In Closet,Inside,Washer,Washer Hookup,Washer Included",,,Furnished,760-576-4185,"7,442"
SB26199419MR,Apartment,8829,8829   Alcott ST #6,LOS ANGELES,90035,1,1.00 (1 0 0 0),,$0.00,,"$1,995","$1,995","$1,995",790,$2.53,1957,1,Laundry Area,,1-Year,Unfurnished,424-732-2821,"7,342"
26988785,,919,919  N N Alfred St #105,West Hollywood,90069,1,1.00 (1 0 0 0),,,,"$1,995","$1,995","$1,995",700,$2.85,,0,Community,Call,1+Year,Unfurnished,310-779-1995,"14,771"
26988799,,6179,6179  N Figueroa St,Los Angeles,90042,1,1.00 (1 0 0 0),,,,"$1,995","$1,995","$1,995",700,$2.85,,1,Community,Call,1+Year,Unfurnished,323-443-6005,0
26988251,,7453,7453   Haskell Ave #7,Van Nuys,91406,1,1.00 (1 0 0 0),,,,"$1,995","$1,995","$1,995",800,$2.49,1987,1,Community,Yes,1+Year,Unfurnished,310-493-9895,"6,739"
SR26199818MR,Condominium,5460,5460   White Oak  #G309,LOS ANGELES,91316,1,2.00 (1 0 1 0),1,$250.00,50,"$1,999","$1,999","$1,999",712,$3,1971,4,Community,,1-Year,Unfurnished,818-427-8089,"406,432"
26988743,,219,219  E 87th St,Los Angeles,90003,1,1.00 (1 0 0 0),,,,"$1,999","$1,500","$1,999",405,$4.94,2026,0,None,Yes,1+Year,Unfurnished,213-259-5283,"6,263"
WS26203253MR,Apartment,701,701  S Garfield  #B,MONTEREY PARK,91754,1,1.00 (1 0 0 0),2000,$0.00,,"$2,000","$2,000","$2,000",650,$3.08,1959,1,Community,,1-Year,Unfurnished,626-823-8108,"55,508"
26988793,,16042,16042   Knapp St,North Hills,91343,1,1.00 (1 0 0 0),,,,"$2,000","$2,000","$2,000",400,$5.00,,0,"In Unit,Laundry Closet Stacked",Call,1+Year,Unfurnished,818-434-2497,"7,596"
26988239,,18530,18530   Hatteras St #216,Los Angeles,91356,1,1.00 (1 0 0 0),,,,"$2,000","$2,000","$2,000",634,$3.15,1978,2,Community,Call,1+Year,Unfurnished,310-714-6161,"84,802"
26987745,,1261,1261   Granville Ave #6,Los Angeles,90025,1,1.00 (1 0 0 0),,,,"$2,000","$2,800","$2,000",750,$2.67,1967,1,"Laundry Area,Community",No,1+Year,Unfurnished,310-994-3229,"7,204"
SR26198392MR,Single Family,13427,13427   Bracken ST,ARLETA,91331,1,1.00 (1 0 0 0),,$0.00,,"$2,000","$2,000","$2,000",350,$5.71,1964,1,"Dryer,Dryer Included,Inside,Washer,Washer Included",,1-Year,Unfurnished,818-231-1735,"6,511"
SB26203205MR,Apartment,16111,16111   Prairie AVE #101,LAWNDALE,90260,1,1.00 (1 0 0 0),,$0.00,,"$2,095","$2,095","$2,095",800,$2.62,1972,1,Laundry Area,No,1-Year,Unfurnished,424-732-2821,"25,167"
226004414VC,,4810,4810   St Elmo DR #8,LOS ANGELES,90019,1,1.00 (1 0 0 0),,,,"$2,100","$2,100","$2,100",642,$3.27,1963,1,Community,,,Unfurnished,,"7,002"
SB26199210MR,Apartment,327,327  W Carson ST #11,CARSON,90745,2,1.00 (1 0 0 0),,$0.00,,"$2,100","$2,100","$2,100",620,$3.39,1959,1,Community,No,,Unfurnished,310-988-8211,"28,607"
26988229,,630,630 West  6th St #613,Los Angeles,90017,1,1.00 (1 0 0 0),,,,"$2,100","$2,100","$2,100",530,$3.96,1962,1,In Unit,Call,"1+Year,12 Months",Unfurnished,310-717-1321,"26,615"
SR26202523MR,Single Family,14853,14853   San Fernando Misson Blvd,LOS ANGELES,91345,2,1.00 (1 0 0 0),,$0.00,,"$2,100","$2,100","$2,100",516,$4.07,1994,0,None,No,1-Year,Unfurnished,661-993-3271,"7,560"
OC26200506MR,Apartment,16205,16205   Cornuta Ave #2,BELLFLOWER,90706,2,1.00 (1 0 0 0),,$0.00,,"$2,100","$2,100","$2,100",800,$2.63,1974,2,"Community,Laundry Area",No,1-Year,Unfurnished,818-862-2612,"19,865"
SR26200150MR,Apartment,2115,2115 1/2  Venice BLVD,LOS ANGELES,90006,2,2.00 (2 0 0 0),,$500.00,,"$2,100","$2,100","$2,100",890,$2.36,1913,0,"Dryer,Dryer Included,Washer,Washer Included",,1-Year,Unfurnished,818-917-8459,"7,296"
SB26201082MR,Apartment,20917,20917   Amie AVE #11,TORRANCE,90503,1,1.00 (1 0 0 0),,$0.00,,"$2,150","$2,150","$2,150",495,$4.34,1962,1,Laundry Area,No,1-Year,Unfurnished,424-732-2821,"35,933"
PW26199911MR,Apartment,1708,1708   Pine AVE #14,LONG BEACH,90813,2,1.00 (1 0 0 0),,$0.00,,"$2,150","$2,150","$2,150",800,$2.69,1961,1,Laundry Area,,1-Year,Unfurnished,,"7,561"
26988587,,1427,1427  N Martel Ave #3,Los Angeles,90046,1,1.00 (1 0 0 0),,,,"$2,150","$2,150","$2,150",800,$2.69,1959,0,Laundry Area,Yes,1+Year,Unfurnished,310-978-5252,"7,015"
26986389,,833,833  S Orange Grove Ave #2,Los Angeles,90036,1,1.00 (1 0 0 0),,,,"$2,175","$2,175","$2,175",950,$2.29,1988,0,Laundry Area,Call,"1+Year,12 Months,Month-to-Month",Unfurnished,310-730-3213,"6,002"
