MLS,Prop Subtype,St #,Address,City,Zip,BR,Baths(FTHQ),Other Deposit,Pet Deposit,Key Deposit,OLP,Security Deposit,LP,SqFt,LP $/SqFt,YB,# Prking Spaces,Laundry,Pets,Lease Terms,Furnished,Seller's Agent 1 Cell,Lot Sz
PT26113484MR,Single Family,12329,12329   Oxford  ,HAWTHORNE,90250,2,2.00 (2 0 0 0),,$0.00,100,$705,"$1,000",$705,"1,733",$0.41,1949,0,In Kitchen,No,,Furnished,818-859-9931,"5,440"
26840071,,1408,1408   Arapahoe St #1/2,Los Angeles,90006,0,1.00 (1 0 0 0),,,,"$1,350","$1,450","$1,350",,$0,1907,1,None,Call,1+Year,Unfurnished,213-494-8501,"5,507"
26840365,,1117,1117  S Westlake Ave #304,Los Angeles,90006,0,1.00 (1 0 0 0),,,,"$1,395","$1,395","$1,395",400,$3.49,1928,0,Community,Yes,12 Months,Unfurnished,310-488-5459,"7,767"
MB26115365MR,,209,209   N. 7th ST ,MONTEBELLO,90640,0,1.00 (1 0 0 0),,$0.00,10,"$1,400","$1,400","$1,400",440,$3.18,1954,0,None,No,Month-to-Month,Unfurnished,323-646-2100,"7,170"
26839339,,110,110  S Soto St #6,Los Angeles,90033,0,1.00 (1 0 0 0),,,,"$1,400","$1,400","$1,400",450,$3.11,1912,1,Community,No,1+Year,Unfurnished,833-832-6770,"6,452"
MB26115191MR,,213,213   N 7th Street ,MONTEBELLO,90640,0,1.00 (1 0 0 0),,$0.00,10,"$1,400","$1,400","$1,400",440,$3.18,1954,0,None,No,Month-to-Month,Unfurnished,323-646-2100,
26839511,,828,828  E 6th St ,Pomona,91766,1,1.00 (1 0 0 0),,,,"$1,495","$1,495","$1,495",650,$2.30,1923,0,None,No,1+Year,Unfurnished,909-900-8842,"1,000"
SB26116300MR,,4015,4015  W 137th ST #103,HAWTHORNE,90250,0,1.00 (1 0 0 0),,$0.00,,"$1,495","$1,495","$1,495",610,$2.45,1972,1,Laundry Area,No,1-Year,Unfurnished,424-732-2821,"17,406"
SR26116548MR,Single Family,2111,2111  W Avenue P8  ,PALMDALE,93551,1,1.00 (1 0 0 0),,$0.00,50,"$1,500","$1,500","$1,500","1,280",$1.17,1990,0,None,,1-Year,Unfurnished,818-554-4012,"7,241"
26840873,,320,320  S Ardmore Ave #120,Los Angeles,90020,0,1.00 (1 0 0 0),,,,"$1,599","$1,600","$1,599",368,$4.35,1973,1,Community,Yes,"1-Year,Negotiable",Unfurnished,213-550-9009,"43,946"
SR26114627MR,Apartment,1640,1640   Sherman PL #9,LONG BEACH,90804,1,1.00 (1 0 0 0),,$300.00,200,"$1,600","$1,600","$1,600",400,$4,1923,0,None,No,1-Year,Unfurnished,818-564-5054,"6,534"
SR26117441MR,,8561,8561   orion av #1,NORTH HILLS,91343,0,1.00 (1 0 0 0),,$500.00,50,"$1,650","$1,650","$1,650",400,$4.13,1950,1,Inside,,1-Year,,818-331-3838,"15,000"
OC26112600MR,Apartment,718,718   Chestnut AVE #4,LONG BEACH,90813,1,1.00 (1 0 0 0),,$0.00,,"$1,650","$1,650","$1,650",463,$3.56,1923,0,None,,1-Year,Unfurnished,949-275-4440,"5,744"
WS26118803MR,Apartment,144,144  E Avenue 33  #3,LOS ANGELES,90031,1,1.00 (1 0 0 0),,$0.00,,"$1,650","$1,650","$1,650",700,$2.36,1964,0,Laundry Area,,1-Year,Unfurnished,626-560-0773,"9,851"
26840771,,1221,1221   Seward St #205,Los Angeles,90038,0,1.00 (1 0 0 0),,,,"$1,675","$1,675","$1,675",500,$3.35,1987,1,Community,No,12 Months,Unfurnished,310-927-7959,"10,242"
SB26115096MR,Apartment,14817,14817   Sylvan ST #6,VAN NUYS,91411,1,1.00 (1 0 0 0),,$0.00,,"$1,700","$1,700","$1,700",600,$2.83,1977,2,Laundry Area,,1-Year,Unfurnished,424-732-2821,"8,758"
PW26108243MR,,1823,1823 3/4 S Van Ness  ,LOS ANGELES,90019,0,1.00 (1 0 0 0),,$0.00,,"$1,700","$1,700","$1,700",300,$5.67,1913,0,Other,,1-Year,Unfurnished,714-348-1774,"8,065"
CV26114931MR,Apartment,316,316  N San Gabriel AVE #A,AZUSA,91702,1,1.00 (1 0 0 0),,$0.00,,"$1,700","$1,699","$1,700",900,$1.89,1962,1,In Carport,,1-Year,Unfurnished,626-975-4104,"7,010"
SB26114993MR,,1746,1746  W 82nd ST ,LOS ANGELES,90047,2,1.00 (1 0 0 0),,$0.00,,"$1,725","$1,725","$1,725",460,$3.75,1927,1,Laundry Area,No,1-Year,Unfurnished,424-732-2821,"6,687"
CV26115216MR,,2203,2203   ALASKA  ,WEST COVINA,91791,0,1.00 (1 0 0 0),,$250.00,,"$1,750","$1,000","$1,750",300,$5.83,1955,0,None,,1-Year,Unfurnished,626-975-5727,"9,781"
DW26116645MR,Apartment,807,807  E Vernon  #2,LOS ANGELES,90011,1,1.00 (1 0 0 0),,$0.00,,"$1,750","$1,750","$1,750",500,$3.50,1981,0,None,No,"1+Year,1-Year,Negotiable",Unfurnished,562-458-9215,"4,690"
WS26116350MR,Condominium,17030,17030   Colima  ,HACIENDA HEIGHTS,91745,1,1.00 (1 0 0 0),,$0.00,,"$1,780","$1,780","$1,780",612,$2.91,1979,0,Community,No,1-Year,Unfurnished,626-487-4396,"292,209"
26840743,,1221,1221   Seward St #101,Los Angeles,90038,1,1.00 (1 0 0 0),,,,"$1,795","$1,795","$1,795",600,$2.99,1987,1,Community,No,12 Months,Unfurnished,310-927-7959,"10,242"
SR26116718MR,Single Family,3616,3616  W Victory  ,BURBANK,91505,2,1.00 (1 0 0 0),,$0.00,,"$1,795","$1,795","$1,795",600,$2.99,1941,0,None,No,1-Year,Unfurnished,818-968-4792,"5,343"
26841583,,8946,8946   Bryson Ave #A,South Gate,90280,0,1.00 (1 0 0 0),,,,"$1,800","$1,800","$1,800",425,$4.24,2024,0,None,No,1-Year,Unfurnished,310-562-5088,"3,892"
PW26116565MR,Apartment,15,15   Christina ST #G,ARCADIA,91006,0,1.00 (1 0 0 0),,$0.00,,"$1,800","$1,800","$1,800",400,$4.50,2026,1,"Dryer,Dryer Included,Washer,Washer Included",,1-Year,Unfurnished,,"8,873"
