MLS,Prop Subtype,St #,Address,City,Zip,BR,Baths(FTHQ),Other Deposit,Pet Deposit,Key Deposit,OLP,Security Deposit,LP,SqFt,LP $/SqFt,YB,# Prking Spaces,Laundry,Pets,Lease Terms,Furnished,Seller's Agent 1 Cell,Lot Sz
TR26195553MR,Single Family,2486,2486   Pocatello,ROWLAND HEIGHTS,91748,1,1.00 (1 0 0 0),,$0.00,,"$1,100","$2,200","$1,100",250,$4.40,1961,0,Laundry Area,No,1-Year,Unfurnished,605-846-3169,"9,302"
26984823,,156,156  W 32nd St #1,Los Angeles,90007,0,1.00 (1 0 0 0),,,,"$1,295","$1,295","$1,295",250,$5.18,1907,0,None,Call,"1+Year,12 Months,24 Months",Unfurnished,310-625-9005,"7,611"
PW26193225MR,Apartment,710,710   Atlantic,LONG BEACH,90813,0,1.00 (0 1 0 0),,$300.00,,"$1,295","$1,295","$1,295",210,$6.17,1920,0,None,,1-Year,Unfurnished,213-819-3663,"5,001"
PW26195830MR,Apartment,12801,12801   Norwalk  #2,NORWALK,90650,14,12.00 (12 0 0 0),,$0.00,150,"$1,300","$1,300","$1,300",550,$2.36,1953,0,None,No,1-Year,Unfurnished,714-614-2426,"28,026"
CV26195947MR,,4479,4479   Delta AVE,ROSEMEAD,91770,0,1.00 (1 0 0 0),,$0.00,,"$1,400","$1,400","$1,400",370,$3.78,2021,1,None,No,1-Year,Unfurnished,626-643-7090,370
RS26195361MR,,13109,13109   Andy,CERRITOS,90703,1,1.00 (1 0 0 0),,$0.00,,"$1,400","$1,400","$1,400",150,$9,2006,0,Inside,,1-Year,Furnished,,"5,076"
SR26194979MR,Apartment,127,127  W 58th  #1/2,LOS ANGELES,90037,0,1.00 (1 0 0 0),,$0.00,,"$1,495","$1,495","$1,495",450,$3,1920,1,None,,1-Year,Unfurnished,818-620-2244,"4,403"
26965861,,613,613  S Prairie Ave #14,Inglewood,90301,0,1.00 (1 0 0 0),,,,"$1,497","$1,497","$1,497",,$0.00,1955,0,None,Call,1+Year,Unfurnished,310-710-0601,"8,255"
PV26194109MR,,24261,24261   Los Codona,TORRANCE,90505,1,1.00 (1 0 0 0),,$0.00,,"$1,500","$1,500","$1,500",600,$2.50,1960,0,None,No,Month-to-Month,,310-621-0646,600
GD26194355IT,Apartment,228,228  S Kenwood ST #402,GLENDALE,91205,0,1.00 (1 0 0 0),,$0.00,,"$1,575","$1,550","$1,575",440,$3.58,1927,0,Community,,1-Year,Unfurnished,818-437-2433,"7,497"
26985091,,4602,4602   Alveo Rd #GH,La Canada Flintridge,91011,0,1.00 (1 0 0 0),,,,"$1,600","$1,600","$1,600",400,$4.00,1946,0,None,No,1+Year,Unfurnished,213-422-6778,"7,786"
SR26195420MR,Single Family,8561,8561   orion av,NORTH HILLS,91343,0,1.00 (1 0 0 0),,$0.00,,"$1,600","$1,600","$1,600",400,$4.00,1960,1,Laundry Area,,1-Year,,818-331-3838,"653,400,000"
PW26193515MR,,9621,9621   San Vincente AVE #A,SOUTH GATE,90280,1,1.00 (1 0 0 0),,$0.00,,"$1,600","$1,600","$1,600",400,$4.00,1948,0,None,No,"1-Year,Negotiable",Unfurnished,714-625-7240,"4,833"
SR26196568MR,Condominium,312,312  W 5th ST #521,LOS ANGELES,90013,0,1.00 (1 0 0 0),,$150.00,,"$1,650","$2,300","$1,650",470,$3.51,1923,1,"Electric Dryer Hookup,Hookup - Electric,Washer Hookup",,1-Year,Unfurnished,,"27,285"
PW26193755MR,Single Family,4514,4514   Linden,LONG BEACH,90807,5,3.00 (3 0 0 0),,$0.00,,"$1,650","$1,650","$1,650","1,941",$0.85,1945,0,None,No,Month-to-Month,Unfurnished,,"6,119"
SB26194411MR,Apartment,4329,4329  E 55th ST #B,MAYWOOD,90270,1,1.00 (1 0 0 0),,$0.00,,"$1,650","$1,650","$1,650",500,$3.30,1963,1,None,No,1-Year,Furnished,424-732-2821,"8,954"
GD26193317IT,,14612,14612   Vose,VAN NUYS,91405,0,1.00 (1 0 0 0),,$500.00,,"$1,650","$1,695","$1,650",340,$4.85,2022,0,"Dryer,Dryer Included,Inside,Washer,Washer Included",,1-Year,Unfurnished,818-612-3242,
SR26193282MR,Apartment,124,124 1/4  S Westmoreland Ave,LOS ANGELES,90004,1,1.00 (1 0 0 0),,$0.00,,"$1,650","$1,749","$1,650",650,$2.54,1925,0,"Dryer,Dryer Included,Room,Washer,Washer Included",,1-Year,Unfurnished,818-601-9033,"7,941"
AR26196711MR,,1839,1839   Curtis AVE,ALHAMBRA,91803,0,1.00 (1 0 0 0),,$0.00,,"$1,650","$1,650","$1,650",450,$3.67,1924,0,None,No,1-Year,Unfurnished,626-389-3899,"6,159"
SR26189760MR,Condominium,22100,22100   Burbank Blvd #350F,WOODLAND HILLS,91364,0,1.00 (1 0 0 0),100,$250.00,250,"$1,680","$1,680","$1,680",358,$4.69,1979,1,"Community,Laundry Area",,1-Year,Unfurnished,818-932-5957,
SR26194954MR,Apartment,1163,1163  E 46th,LOS ANGELES,90011,0,1.00 (1 0 0 0),,$0.00,,"$1,695","$1,695","$1,695",450,$3.77,1925,0,None,,1-Year,Unfurnished,818-620-2244,"6,936"
26985523,,1519,1519  N Martel Ave #201,Los Angeles,90046,0,1.00 (1 0 0 0),,,,"$1,695","$1,695","$1,695",550,$3.08,,1,Community,Call,1+Year,Unfurnished,323-443-6005,0
CV26194543MR,,1404,1404   Pacific Coast Hwy,HARBOR CITY,90710,0,1.00 (1 0 0 0),,$100.00,,"$1,699","$1,699","$1,699",242,$7.02,1984,0,None,,"1+Year,1-Year,Month-to-Month,Negotiable,Other",Furnished,626-340-3928,
26985629,,607,607  S Dunsmuir Ave,Los Angeles,90036,0,1.00 (1 0 0 0),,,,"$1,699","$1,699","$1,699",550,$3.09,1929,0,Community,Yes,"1+Year,12 Months",Unfurnished,310-818-3246,"7,803"
26985299,Apartment,443,443  S Wilton Pl #5,Los Angeles,90020,1,1.00 (1 0 0 0),,,,"$1,700","$1,700","$1,700",,$0.00,1957,1,Community,Call,"1+Year,Negotiable",Unfurnished,213-999-4345,"19,907"
26984813,,254,254  S Vendome St #6,Los Angeles,90057,0,1.00 (1 0 0 0),,,,"$1,700","$1,700","$1,700","6,378",$0.27,1923,1,"Laundry Area,Other",Call,1+Year,Unfurnished,323-907-0749,"6,013"
