MLS,Prop Subtype,St #,Address,City,Zip,BR,Baths(FTHQ),Other Deposit,Pet Deposit,Key Deposit,OLP,Security Deposit,LP,SqFt,LP $/SqFt,YB,# Prking Spaces,Laundry,Pets,Lease Terms,Furnished,Seller's Agent 1 Cell,Lot Sz
SB26017458MR,Single Family,618,618  E Buckthorn ST ,INGLEWOOD,90301,4,2.00 (2 0 0 0),,$0.00,,$600,$0,$600,"1,400",$0.43,1923,0,Inside,,Weekly,Furnished,213-400-8541,"3,914"
26642685,,1324,1324  W 36th St #4 Room 2,Los Angeles,90007,1,1.00 (1 0 0 0),,,,"$1,150","$1,150","$1,150",617,$1.86,,1,"In Unit,Inside",Call,"1+Year,1-Year,12 Months",Unfurnished,213-503-8070,"6,802"
AR26018268MR,Single Family,4056,4056   Kenmore  ,BALDWIN PARK,91706,1,1.00 (1 0 0 0),,$0.00,,"$1,380","$1,500","$1,380",300,$4.60,1933,0,None,No,1-Year,Unfurnished,626-695-6006,"9,000"
SB26015778MR,Apartment,4387,4387  W 134th ST #G,HAWTHORNE,90250,0,1.00 (1 0 0 0),,$0.00,,"$1,450","$1,450","$1,450",280,$5.18,1937,0,None,,1-Year,Unfurnished,424-732-2821,"8,691"
26643579,Apartment,1436,1436  E 4th St #C,Long Beach,90802,1,1.00 (1 0 0 0),,,,"$1,495","$1,495","$1,495",400,$3.74,,0,None,Yes,"1-Year,12 Months",Unfurnished,909-900-8842,400
26641747,Apartment,115,115  N Oak St #34,Inglewood,90301,0,1.00 (1 0 0 0),,,,"$1,495","$1,495","$1,495",360,$4.15,1958,1,"Outside,Community",Yes,12 Months,Unfurnished,310-844-4812,"34,121"
CV26019293MR,Apartment,1609,1609  W Badillo  #ADU,SAN DIMAS,91773,0,1.00 (0 1 0 0),,$0.00,,"$1,500","$1,500","$1,500",250,$6,1962,1,"Gas Dryer Hookup,Washer Hookup",,Month-to-Month,Unfurnished,909-750-1763,"7,893"
SR26016474MR,,2431,2431   Michigan AVE ,LOS ANGELES,90033,1,1.00 (1 0 0 0),,$50.00,,"$1,500","$1,500","$1,500",336,$4.46,1914,0,None,,1-Year,Unfurnished,818-300-7498,"5,872"
SR26016628MR,,11500,11500   GLENOAKS  ,PACOIMA,91331,0,1.00 (1 0 0 0),,$500.00,,"$1,500","$1,500","$1,500",400,$3.75,1944,0,None,,1-Year,Unfurnished,818-266-6679,"6,960"
SR26017061MR,Apartment,663,663   Eston Pl #B,LANCASTER,93535,1,2.00 (1 1 0 0),,$0.00,250,"$1,650","$1,300","$1,500",700,$2.14,1971,0,None,No,1-Year,Unfurnished,818-523-4582,"7,090"
SB26017111MR,Apartment,7833,7833  S Normandie AVE #1/2,LOS ANGELES,90044,1,1.00 (1 0 0 0),,$0.00,,"$1,600","$1,600","$1,600",420,$3.81,1948,1,None,No,1-Year,Unfurnished,424-732-2821,"5,200"
WS26017548MR,,220,220   Darocca  #A,SAN GABRIEL,91775,1,1.00 (0 1 0 0),,$0.00,,"$1,600","$1,600","$1,600",300,$5.33,1924,1,Laundry Area,,1-Year,Furnished,626-926-0236,"6,253"
26643563,,1675,1675  W Martin Luther King Jr Blvd #5,Los Angeles,90062,0,1.00 (1 0 0 0),,,,"$1,600","$1,600","$1,600",,$0,,0,Other,Yes,1+Year,Unfurnished,424-388-2090,"12,000"
26643411,,3309,3309  S Main St #6,Los Angeles,90007,0,0.00 (0 0 0 0),,,,"$1,600","$1,600","$1,600",600,$2.67,1908,0,Other,Yes,1+Year,Unfurnished,424-388-2090,"5,521"
26643421,,3309,3309  S Main St #8,Los Angeles,90007,0,0.00 (0 0 0 0),,,,"$1,600","$1,600","$1,600",600,$2.67,1908,0,Other,Yes,1+Year,Unfurnished,424-388-2090,"5,521"
26643427,,3309,3309  S Main St #11,Los Angeles,90007,0,0.00 (0 0 0 0),,,,"$1,600","$1,600","$1,600",600,$2.67,1908,0,Other,Yes,1+Year,Unfurnished,424-388-2090,"5,521"
CV26000704MR,Apartment,30,30  N 1st ST #5,ALHAMBRA,91801,1,1.00 (1 0 0 0),,$0.00,,"$1,675","$1,675","$1,675",522,$3.21,1956,0,Community,No,1-Year,Unfurnished,626-391-2149,"14,818"
