MLS,Prop Subtype,St #,Address,City,Zip,BR,Baths(FTHQ),Other Deposit,Pet Deposit,Key Deposit,OLP,Security Deposit,LP,SqFt,LP $/SqFt,YB,# Prking Spaces,Laundry,Pets,Lease Terms,Furnished,Seller's Agent 1 Cell,Lot Sz
26870829,,5641,5641  N Halbrent Ave #10,Los Angeles,91411,0,1.00 (1 0 0 0),,$100.00,50,"$1,395","$1,395","$1,395",0,$0,1961,0,Outside,Call,1+Year,Unfurnished,310-560-6666,"12,073"
MB26176376MR,Apartment,529,529  S Humphreys AVE #1/2,EAST LOS ANGELES,90022,0,1.00 (1 0 0 0),,$0.00,,"$1,400",$300,"$1,400",700,$2,1924,0,None,No,Month-to-Month,Unfurnished,323-490-9434,"10,249"
SB26177834MR,Apartment,12926,12926   Doty AVE #23,HAWTHORNE,90250,0,1.00 (1 0 0 0),,$0.00,,"$1,450","$1,450","$1,450",283,$5.12,1962,1,Laundry Area,No,1-Year,Unfurnished,424-732-2821,"12,851"
OC26176677MR,Apartment,8803,8803   hoover  ,LOS ANGELES,90044,0,1.00 (1 0 0 0),,$50.00,,"$1,500","$1,550","$1,500",350,$4.29,1940,1,None,Yes,1-Year,Unfurnished,714-856-1497,"1,948"
26871669,,11515,11515   Ohio Ave #5A,Los Angeles,90025,0,1.00 (1 0 0 0),,,,"$1,500","$1,500","$1,500",,$0,1974,0,"Community,Room",Call,1+Year,Unfurnished,310-993-4338,"5,976"
SR26175550MR,Single Family,20509,20509   Vose unit 1/2  ,LOS ANGELES,91306,0,1.00 (1 0 0 0),,$0.00,,"$1,675","$1,675","$1,675",330,$5.08,2025,0,"Dryer,Dryer Included,In Kitchen,Inside,Laundry Closet Stacked,Stackable W/D Hookup,Washer,Washer Included",No,1-Year,Unfurnished,818-277-0008,400
26870743,,470,470  S Mariposa Ave #7,Los Angeles,90020,1,1.00 (1 0 0 0),,,,"$1,695","$1,695","$1,695",,$0,,1,Community,Yes,1-Year,Unfurnished,3234351098,"12,886"
AR26175397MR,Apartment,37,37  S Sierra Madre BLVD ,PASADENA,91107,0,1.00 (1 0 0 0),,$400.00,,"$1,695","$1,695","$1,695",350,$4.84,1950,0,Laundry Area,No,1-Year,Unfurnished,626-433-3252,"15,892"
CV26177333MR,Apartment,640,640  E 6th ST #D,AZUSA,91702,1,1.00 (1 0 0 0),,$500.00,,"$1,750","$1,750","$1,750",750,$2.33,1963,2,None,,Month-to-Month,Unfurnished,909-921-8960,"6,090"
26871455,Apartment,10540,10540   Balboa Blvd #119,Granada Hills,91344,1,1.00 (1 0 0 0),,,,"$1,750","$1,750","$1,750",600,$2.92,1977,1,"Community,Inside,Laundry Area",No,12 Months,Unfurnished,310-826-5595,"53,308"
SB26174512MR,Apartment,25317,25317   Cypress ST #25321,LOMITA,90717,1,1.00 (1 0 0 0),,$0.00,50,"$1,750","$1,750","$1,750",450,$3.89,1949,1,Community,No,1-Year,Unfurnished,310-308-2358,"19,330"
SB26164057MR,Condominium,728,728   Cedar  ,LONG BEACH,90813,1,1.00 (1 0 0 0),,$0.00,,"$1,795","$1,850","$1,795",575,$3.12,1956,0,Community,,1-Year,Unfurnished,310-447-4724,"15,036"
26871627,,2318,2318 1/2 W Jefferson Blvd #A,Los Angeles,90018,1,1.00 (1 0 0 0),,,,"$1,795","$1,795","$1,795",,$0,,1,None,Call,1+Year,Unfurnished,310-488-5459,"5,000"
PW26172901MR,Condominium,800,800  E Ocean BLVD ,LONG BEACH,90802,0,1.00 (1 0 0 0),200,"$2,000.00",100,"$1,795","$1,795","$1,795",300,$5.98,1928,0,"Community,Laundry Area,Room",No,1-Year,Furnished,949-510-2370,"51,673"
GD26175652IT,Single Family,10933,10933   Nassau AVE ,SUNLAND,91040,0,1.00 (1 0 0 0),,$0.00,,"$1,800","$1,800","$1,800",350,$5.14,1952,0,"Dryer,Dryer Included,Inside,Washer,Washer Included",,1-Year,Unfurnished,310-431-9694,"6,181"
WS26175015MR,Single Family,3034,3034  E Del Mar  ,PASADENA,91107,1,1.00 (1 0 0 0),,$0.00,,"$1,800","$1,800","$1,800","1,164",$1.55,1915,1,None,,1-Year,Furnished,626-230-2271,"7,853"
26871633,,18600,18600   Burbank Blvd #107,Los Angeles,91356,1,1.00 (1 0 0 0),,,,"$1,800","$1,800","$1,800",700,$2.57,1964,1,Community,Call,1-Year,Unfurnished,818-648-0519,"16,208"
GD26176527IT,Apartment,1835,1835  N ALEXANDRIA AVE #10,LOS ANGELES,90027,0,1.00 (1 0 0 0),,$0.00,,"$1,800","$1,800","$1,800",525,$3.43,1957,2,Laundry Area,,1-Year,Unfurnished,,"7,050"
IG26173939MR,Single Family,1387,1387   Holt Ave ,POMONA,91768,1,1.00 (1 0 0 0),,$0.00,150,"$1,800","$1,800","$1,800",500,$3.60,2026,0,"Electric Dryer Hookup,Hookup - Electric,Laundry Area",No,1-Year,Unfurnished,909-964-2521,"7,000"
SB26177447MR,,700,700  W 30th Street ,SAN PEDRO,90731,1,1.00 (1 0 0 0),,$0.00,,"$1,800","$2,700","$1,800",650,$2.77,1956,0,None,No,"1-Year,Month-to-Month,Negotiable",Furnished,808-990-8452,"8,201"
26872157,Single Family,7931,7931   Zelzah Ave ,Reseda,91335,0,1.00 (0 1 0 0),,$800.00,,"$1,850","$2,700","$1,850",360,$5.14,1954,0,"Inside,Laundry Area",Call,"1+Year,1-Year,12 Months,24 Months",Unfurnished,818-904-9505,"6,002"
SR26177515MR,Apartment,4128,4128  W Avenue L  #G,QUARTZ HILL,93536,2,2.00 (1 0 1 0),,$0.00,,"$1,895","$1,895","$1,895","1,000",$1.90,1973,1,"Community,Laundry Area",No,1-Year,Unfurnished,661-492-3801,"19,803"
26871983,,6627,6627   Kraft Ave #1/2,North Hollywood,91606,1,1.00 (1 0 0 0),,,,"$1,895","$1,895","$1,895",340,$5.57,2023,1,In Unit,Call,1+Year,Unfurnished,310-940-2818,"6,752"
GD26176809IT,Single Family,19314,19314   Valerio ST #1/2,RESEDA,91335,0,1.00 (1 0 0 0),,$0.00,,"$1,900","$1,900","$1,900",400,$4.75,1976,0,"Gas Dryer Hookup,Inside,Washer Hookup",,1-Year,Unfurnished,8189009121,"7,515"
SR26173806MR,Single Family,13302,13302   Beaver ST ,SYLMAR,91342,1,1.00 (1 0 0 0),,$350.00,100,"$1,945","$1,945","$1,945",550,$3.54,2022,0,"Dryer,Dryer Included,Washer,Washer Included",Yes,1-Year,Unfurnished,818-620-1637,"5,685"
26871427,,6244,6244   De Longpre Ave #6,Los Angeles,90028,1,1.00 (1 0 0 0),,$0.00,,"$1,995","$1,950","$1,950",675,$2.89,1958,1,"Laundry Closet Stacked,Laundry Area",Yes,1-Year,Unfurnished,310-666-9682,"6,759"
26870213,,5614,5614   Western  #2,Los Angeles,90062,2,1.00 (1 0 0 0),,,,"$1,950","$1,950","$1,950",700,$2.79,,0,Community,Call,1+Year,Unfurnished,310-709-0125,"5,640"
PW26176502MR,,430,430  E Bixby RD #A,LONG BEACH,90807,0,1.00 (1 0 0 0),,$500.00,,"$1,950","$1,200","$1,950",600,$3.25,2019,0,"Dryer,Dryer Included,Inside,Laundry Closet Stacked,Stackable W/D Hookup,Washer,Washer Included",,Month-to-Month,Unfurnished,3106060918,"8,000"
26870313,Apartment,725,725  S Lorraine Blvd #1/2,Los Angeles,90005,1,1.00 (0 1 0 0),,,,"$1,950","$3,900","$1,950",,$0,1928,1,"Laundry Area,Outside",Call,1+Year,Unfurnished,310-213-3389,"11,245"
