MLS,Prop Subtype,St #,Address,City,Zip,BR,Baths(FTHQ),Other Deposit,Pet Deposit,Key Deposit,OLP,Security Deposit,LP,SqFt,LP $/SqFt,YB,# Prking Spaces,Laundry,Pets,Lease Terms,Furnished,Seller's Agent 1 Cell,Lot Sz
CV26072059MR,,18214,18214   Mescalero  ,ROWLAND HEIGHTS,91748,1,1.00 (1 0 0 0),,$0.00,,$800,"$1,000",$800,400,$2,1960,1,Garage,No,1-Year,Furnished,909-610-0101,"6,130"
DW26073738MR,Single Family,1514,1514  W 156th  ,COMPTON,90220,1,1.00 (1 0 0 0),,$0.00,25,$899,$899,$899,300,$3.00,1956,0,None,No,Month-to-Month,Furnished,310-213-6756,"5,100"
IV26073827MR,Single Family,1908,1908   Grier ST ,POMONA,91766,3,2.00 (2 0 0 0),,$0.00,25,"$1,200","$1,200","$1,200","1,356",$0.88,1952,2,None,No,"Negotiable,Other",Unfurnished,909-917-8984,"6,744"
26673675,,101,101   Dudley Ave #311,Venice,90291,0,1.00 (1 0 0 0),,,,"$1,298","$1,298","$1,298",300,$4.33,1914,0,Community,Call,"1+Year,Month-to-Month,Other",Unfurnished,636-375-1479,"6,063"
OC26072926MR,,5654,5654   La Mirada AVE ,LOS ANGELES,90038,7,7.00 (7 0 0 0),,$0.00,,"$1,370","$1,000","$1,370","9,424",$0.15,2025,2,Gas Dryer Hookup,Yes,"1+Year,1-Year",Furnished,626-233-3077,"7,502"
SB26070828MR,Apartment,12926,12926   Doty AVE #3,HAWTHORNE,90250,0,1.00 (1 0 0 0),,$0.00,,"$1,395","$1,395","$1,395",300,$4.65,1962,1,Laundry Area,No,1-Year,Unfurnished,424-732-2821,"12,851"
SR26067821MR,Condominium,7343,7343   Woodley AVE #3,VAN NUYS,91406,0,1.00 (1 0 0 0),,$0.00,,"$1,400","$1,400","$1,400",275,$5.09,1964,0,Community,,1-Year,Unfurnished,818-534-6168,"6,000"
OC26072735MR,Apartment,1880,1880   Pine AVE #9,LONG BEACH,90806,0,1.00 (1 0 0 0),,$0.00,,"$1,450","$1,450","$1,450",390,$3.72,1947,0,None,,1-Year,Unfurnished,949-275-4440,"6,747"
SR26072139MR,,2515,2515   Crest View  #1,LOS ANGELES,90046,0,1.00 (1 0 0 0),300,$0.00,50,"$1,495","$1,495","$1,495",300,$4.98,1962,0,Laundry Area,No,"1-Year,Negotiable,Other",Furnished,818-239-6320,"18,568"
26677833,,845,845  S KENMORE AVE #201,LOS ANGELES,90005,0,1.00 (1 0 0 0),,,,"$1,495","$1,495","$1,495",500,$2.99,1963,1,None,Yes,1+Year,Unfurnished,310-438-5885,"6,759"
SB26072791MR,,3708,3708   Sara DR ,TORRANCE,90503,4,3.00 (2 0 1 0),,$0.00,,"$1,500","$1,500","$1,500","2,270",$0.66,1969,2,"Garage,Gas Dryer Hookup,Washer Hookup",Yes,"Month-to-Month,Other",Furnished,310-462-7647,"6,724"
26674053,Apartment,1743,1743  S Catalina St ,Los Angeles,90006,1,1.00 (1 0 0 0),,,,"$1,500","$1,500","$1,500",800,$1.88,1916,0,Laundry Area,Call,1-Year,Unfurnished,424-231-5635,"3,630"
PW26070562MR,Apartment,942,942  E 2nd  #6,LONG BEACH,90802,0,1.00 (1 0 0 0),,$500.00,,"$1,550","$1,550","$1,550",600,$2.58,1922,0,None,,1-Year,Unfurnished,562-822-2853,"8,282"
TR26067066MR,,81,81  N Greenwood AVE ,PASADENA,91107,0,1.00 (1 0 0 0),,$350.00,100,"$1,650","$1,450","$1,595",335,$4.76,1941,0,None,,1-Year,Unfurnished,909-568-8058,"7,801"
SR26071619MR,Condominium,8750,8750   Sepulveda BLVD #201,NORTH HILLS,91343,1,1.00 (1 0 0 0),,$0.00,,"$1,598","$1,598","$1,598",787,$2.03,2026,1,"Dryer,Dryer Included,In Closet,Inside,Room,Washer,Washer Included",,1-Year,Unfurnished,818-472-0618,"18,920"
SB26071764MR,Apartment,10234,10234   Woodworth AVE #2,INGLEWOOD,90303,1,1.00 (1 0 0 0),,$0.00,,"$1,625","$1,625","$1,625",650,$2.50,1956,2,None,No,1-Year,Unfurnished,424-732-2821,"6,799"
SR26071651MR,Condominium,8750,8750   Sepulveda BLVD #301,NORTH HILLS,91343,1,1.00 (1 0 0 0),,$0.00,,"$1,644","$1,644","$1,644",787,$2.09,2026,1,"Dryer,Dryer Included,In Closet,Inside,Room,Washer,Washer Included",,1-Year,Unfurnished,818-472-0618,"18,920"
26673463,,310,310  S Kenmore Ave #201,Los Angeles,90020,1,1.00 (1 0 0 0),,,,"$1,650","$1,795","$1,650",850,$1.94,1988,0,Community,Yes,12 Months,Unfurnished,310-818-3246,"9,866"
AR26074131MR,Apartment,10037,10037   Samoa AVE #6,TUJUNGA,91042,1,1.00 (1 0 0 0),,$0.00,,"$1,650","$1,650","$1,650",550,$3,1986,2,"Laundry Area,Room",,"1+Year,1-Year",Unfurnished,626-665-3457,"14,263"
WS26071622MR,Apartment,336,336   N BERENDO ST #213,LOS ANGELES,90004,1,1.00 (1 0 0 0),,$0.00,,"$1,650","$1,650","$1,650",450,$3.67,1963,1,Laundry Area,No,1-Year,Unfurnished,310-266-5551,"17,424"
GD26071000IT,,939,939   Concord ST ,GLENDALE,91202,0,1.00 (1 0 0 0),,$150.00,,"$1,650","$1,650","$1,650",300,$5.50,1926,1,Room,,1-Year,Unfurnished,818-730-0927,"5,874"
MB26073619MR,Apartment,905,905  W 40th  ,LOS ANGELES,90037,4,5.00 (5 0 0 0),,$0.00,,"$1,690",$0,"$1,690","4,746",$0.36,1914,3,None,No,Negotiable,Unfurnished,626-675-2189,"6,417"
26673781,,3961,3961   Moore St #5,Los Angeles,90066,0,1.00 (1 0 0 0),,,,"$1,695","$1,695","$1,695",,$0,1968,1,"Community,Room",No,"1+Year,12 Months",Unfurnished,310-666-5458,"5,951"
BB26073599MR,,2653,2653  S Cloverdale AVE ,LOS ANGELES,90016,1,1.00 (1 0 0 0),,$0.00,,"$1,695","$1,695","$1,695",500,$3.39,1928,0,"Dryer,Dryer Included,In Kitchen,Inside,Laundry Closet Stacked,Stackable W/D Hookup,Washer,Washer Hookup,Washer Included",,1-Year,Unfurnished,323-481-7592,"4,808"
GD26071724IT,Apartment,131,131  S Jackson ST #203,GLENDALE,91205,0,1.00 (1 0 0 0),,$0.00,,"$1,695","$1,695","$1,695",500,$3.39,1926,0,"Community,Laundry Area",No,1-Year,Unfurnished,818-437-2433,"7,600"
SB26069302MR,Apartment,653,653  W 24th  ,SAN PEDRO,90731,0,1.00 (0 1 0 0),,$0.00,,"$1,699","$1,699","$1,699",500,$3.40,1950,1,"Community,Laundry Area",No,1-Year,Unfurnished,310-490-2422,"14,268"
TR26072517MR,,731,731  S Almansor  ,ALHAMBRA,91801,1,1.00 (1 0 0 0),250,$0.00,50,"$1,700","$1,750","$1,700",500,$3.40,1953,0,None,No,1+Year,Furnished,626-437-3219,"7,503"
SR26074401MR,Single Family,8824,8824   Quartz AVE ,NORTHRIDGE,91324,0,1.00 (1 0 0 0),,$0.00,,"$1,700","$1,700","$1,700",400,$4.25,2024,0,"In Kitchen,Laundry Closet Stacked,Stackable W/D Hookup",No,1-Year,Unfurnished,818-201-7743,"8,446"
26673661,,8371,8371   Northgate Ave #16,Canoga Park,91304,1,1.00 (1 0 0 0),,,,"$1,750","$1,750","$1,750",700,$2.50,1964,0,Community,Yes,"1+Year,1-Year,12 Months",Unfurnished,818-335-5423,"17,573"
26679459,Apartment,6340,6340   10th Ave #6400 1/2,Los Angeles,90043,1,1.00 (1 0 0 0),,,,"$1,750","$1,750","$1,750",450,$3.89,1951,1,None,Yes,12 Months,Unfurnished,310-844-4812,"11,361"
26679761,Apartment,6340,6340   10th Ave #6404,Los Angeles,90043,1,1.00 (1 0 0 0),,,,"$1,750","$1,750","$1,750",450,$3.89,1951,1,None,Yes,12 Months,Unfurnished,310-844-4812,"11,361"
BB26073585MR,Apartment,125,125  W Chestnut ST #108,GLENDALE,91204,0,1.00 (1 0 0 0),,$0.00,,"$1,750","$1,750","$1,750",325,$5.38,1931,0,"Dryer,Dryer Included,In Kitchen,Laundry Closet Stacked,Stackable W/D Hookup,Washer,Washer Included",No,1-Year,Unfurnished,818-209-0922,"8,851"
26673333,,110,110  S Rampart Blvd #3,Los Angeles,90057,1,1.00 (1 0 0 0),,,,"$1,750","$1,750","$1,750",,$0,,1,Community,Call,1+Year,Unfurnished,323-205-7399,593
SR26071642MR,Condominium,8750,8750   Sepulveda BLVD #204,NORTH HILLS,91343,1,1.00 (1 0 0 0),,$0.00,,"$1,769","$1,769","$1,769",871,$2.03,2026,1,"Dryer,Dryer Included,In Closet,Inside,Room,Washer,Washer Included",,1-Year,Unfurnished,818-472-0618,"18,920"
26673491,,6627,6627   Kraft Ave ,North Hollywood,91606,1,1.00 (1 0 0 0),,,,"$1,795","$1,795","$1,795",378,$4.75,1948,1,None,Call,1+Year,Unfurnished,310-940-2818,"6,752"
CV26071250MR,,13660,13660   Hartsville  ,LA PUENTE,91746,1,1.00 (1 0 0 0),,$0.00,,"$1,800","$1,800","$1,800",500,$3.60,1955,0,None,No,1-Year,Unfurnished,626-483-6059,"8,514"
26672791,Single Family,1718,1718   Grafton St ,Los Angeles,90026,1,1.00 (1 0 0 0),,,,"$1,800","$1,800","$1,800",550,$3.27,1910,2,None,No,1+Year,Unfurnished,818-281-5301,"5,254"
SR26071160MR,Single Family,11442,11442   Kamloops Pl ,SYLMAR,91342,1,1.00 (1 0 0 0),,$50.00,10,"$1,800","$1,800","$1,800",370,$4.86,2024,1,None,,1-Year,Unfurnished,818-917-2414,"7,424"
SR26071656MR,Condominium,8750,8750   Sepulveda BLVD #304,NORTH HILLS,91343,1,1.00 (1 0 0 0),,$0.00,,"$1,815","$1,815","$1,815",871,$2.08,2026,1,"Dryer,Dryer Included,In Closet,Inside,Room,Washer,Washer Included",,1-Year,Unfurnished,818-472-0618,"18,920"
SR26071647MR,Condominium,8750,8750   Sepulveda BLVD #208,NORTH HILLS,91343,1,1.00 (1 0 0 0),,$0.00,,"$1,828","$1,828","$1,828",900,$2.03,2026,1,"Dryer,Dryer Included,In Closet,Inside,Room,Washer,Washer Included",,1-Year,Unfurnished,818-472-0618,"18,920"
26673763,Apartment,3901,3901  W 7th St #12,Los Angeles,90005,1,1.00 (1 0 0 0),,,,"$1,850","$1,850","$1,850",700,$2.64,1955,1,Community,No,1-Year,Unfurnished,310-254-8664,"17,956"
DW26072397MR,Single Family,12054,12054   Lowemont  ,NORWALK,90650,1,1.00 (1 0 0 0),,$0.00,,"$1,875","$1,875","$1,875",400,$4.69,2025,1,None,No,"1+Year,1-Year",Unfurnished,562-235-5163,"5,185"
AR26072214MR,Apartment,236,236  E Olive AVE #K,MONROVIA,91016,1,1.00 (1 0 0 0),,$0.00,,"$1,895","$1,895","$1,895",500,$3.79,1958,2,Community,,1-Year,Unfurnished,,"16,232"
PW26073647MR,Apartment,4219,4219  E 4th  ,LONG BEACH,90814,1,1.00 (1 0 0 0),,$0.00,,"$1,895","$1,895","$1,895",750,$2.53,1956,0,None,No,1-Year,Unfurnished,562-547-2668,"6,542"
26672165,,607,607  E Fairview Blvd #B,Inglewood,90302,0,1.00 (1 0 0 0),,,,"$1,899","$1,899","$1,899",335,$5.67,1926,2,"In Unit,Inside",Call,"1-Year,1+Year",Unfurnished,818-577-0476,"7,898"
CV26072028MR,,2431,2431  W Beverly  ,MONTEBELLO,90640,1,1.00 (1 0 0 0),,$0.00,50,"$1,900","$1,900","$1,900",600,$3.17,1954,1,None,No,"1-Year,Month-to-Month",Unfurnished,909-721-0332,"4,782"
26678673,,460,460  S Spring St #608,Los Angeles,90013,1,1.00 (1 0 0 0),,,,"$1,900","$1,900","$1,900",470,$4.04,1912,0,Inside,Call,"1+Year,Negotiable",Unfurnished,310-430-1312,"30,796"
26674891,Townhouse,1705,1705   Constance St ,Los Angeles,90015,2,1.00 (1 0 0 0),,,,"$1,900","$1,900","$1,900",900,$2.11,1933,0,Laundry Area,Yes,1+Year,Unfurnished,310-966-0643,"8,331"
SB26072586MR,,1064,1064   Waters AVE #3,POMONA,91766,2,1.00 (1 0 0 0),,$0.00,100,"$1,900","$1,900","$1,900",960,$1.98,1963,0,Outside,No,1-Year,Unfurnished,310 707-3600,"12,838"
TR26071519MR,Condominium,3565,3565   Linden  #226,LONG BEACH,90807,1,1.00 (1 0 0 0),,$0.00,,"$1,900","$4,500","$1,900",660,$2.88,1973,1,Community,,1-Year,Unfurnished,951-640-0717,"83,468"
SR26073454MR,Single Family,7068,7068   Calvin AVE ,RESEDA,91335,0,1.00 (1 0 0 0),,$0.00,,"$1,700","$1,700","$1,900",360,$5.28,1952,0,None,No,1-Year,Unfurnished,818-359-7055,"6,275"
PW26072939MR,Single Family,14829,14829   Longworth  ,NORWALK,90650,3,2.00 (2 0 0 0),,$0.00,,"$1,900","$1,900","$1,900","1,622",$1.17,1961,2,None,,1-Year,Unfurnished,,"5,228"
PW26039040MR,Apartment,10527,10527   Western AVE #3,DOWNEY,90241,1,1.00 (1 0 0 0),,$0.00,,"$1,850","$1,850","$1,925",500,$3.85,1957,1,"Community,Laundry Area",No,1-Year,Unfurnished,562-373-5120,"7,737"
26674405,,18002,18002   Collins ST ,ENCINO,91316,0,1.00 (1 0 0 0),,$500.00,,"$1,950","$1,950","$1,950",400,$4.88,,1,In Unit,Call,"1-Year,12 Months",Both,805-915-7228,"1,200"
SR26071645MR,Condominium,8750,8750   Sepulveda BLVD #207,NORTH HILLS,91343,1,1.00 (1 0 0 0),,$0.00,,"$1,950","$1,950","$1,950",960,$2.03,2026,1,"Dryer,Dryer Included,In Closet,Inside,Room,Washer,Washer Included",,1-Year,Unfurnished,818-472-0618,"18,920"
SW26073675MR,Apartment,5743,5743   Klump  #3,NORTH HOLLYWOOD,91601,1,1.00 (1 0 0 0),,$0.00,50,"$1,950","$1,950","$1,950","4,959",$0.39,1988,1,Community,No,"1+Year,1-Year",Unfurnished,714-719-5598,"6,653"
26675919,,11680,11680   OHIO AVE #202,LOS ANGELES,90025,0,1.00 (1 0 0 0),,,,"$1,995","$1,995","$1,995",500,$3.99,1959,1,Laundry Area,Yes,1+Year,Unfurnished,310-438-5885,"7,000"
