MLS,Prop Subtype,St #,Address,City,Zip,BR,Baths(FTHQ),Other Deposit,Pet Deposit,Key Deposit,OLP,Security Deposit,LP,SqFt,LP $/SqFt,YB,# Prking Spaces,Laundry,Pets,Lease Terms,Furnished,Seller's Agent 1 Cell,Lot Sz
BB25098668MR,Single Family,18352,18352   Bessemer ST ,TARZANA,91335,1,1.00 (1 0 0 0),,$0.00,,"$1,350","$1,250","$1,250","1,509",$0.83,1950,0,Laundry Area,,"1-Year,Month-to-Month,Negotiable,Other",,310-766-7342,"6,206"
25533075,,334,334  N Heliotrope Dr #102,Los Angeles,90004,0,1.00 (1 0 0 0),,,,"$1,295","$1,395","$1,295",400,$3.24,1925,0,Laundry Area,Yes,1+Year,Unfurnished,310-488-5459,"6,900"
25532867,,805,805  E 21st St #A,Los Angeles,90011,0,1.00 (1 0 0 0),,,,"$1,350","$1,350","$1,350",0,$0,2008,1,Laundry Area,No,1+Year,Unfurnished,213-494-8501,"7,506"
LG25096752MR,,15826,15826 1/2 S Vermont AVE #2,GARDENA,90247,0,1.00 (0 1 0 0),,$0.00,,"$1,350","$1,500","$1,350",250,$5.40,2024,0,None,No,1-Year,Unfurnished,949-861-0738,
AR25097842MR,,229,229   Mayflower AVE ,MONROVIA,91016,0,1.00 (1 0 0 0),,$0.00,,"$1,380","$1,380","$1,380",310,$4.45,1946,0,None,No,1-Year,Unfurnished,626-205-8710,"9,110"
25532229,,1117,1117  S Westlake Ave #210,Los Angeles,90006,0,1.00 (1 0 0 0),,,,"$1,395","$1,395","$1,395",400,$3.49,1928,0,Community,Yes,12 Months,Unfurnished,310-488-5459,"7,767"
TR25097069MR,Single Family,7204,7204  N Chestnut LN ,VAN NUYS,91405,1,1.00 (1 0 0 0),,$500.00,100,"$1,400","$1,400","$1,400","1,478",$0.95,2015,1,Laundry Area,,1-Year,Furnished,9092156713,"1,478"
AR25097300MR,Apartment,558,558  W 3rd ST ,POMONA,91766,1,1.00 (1 0 0 0),,$0.00,,"$1,450","$1,450","$1,450",580,$2.50,1946,0,None,No,1-Year,Unfurnished,949-345-5987,"6,940"
25533909,,842,842  S Berendo St #9,Los Angeles,90005,0,1.00 (1 0 0 0),,,,"$1,495","$1,495","$1,495",201,$7.44,1911,0,Community,Call,1+Year,Both,310-940-2818,"7,252"
25533349,,634,634  S Gramercy Pl #608A,Los Angeles,90005,0,1.00 (1 0 0 0),,$300.00,,"$1,568","$1,699","$1,568",600,$2.61,1929,0,Community,Yes,1+Year,Unfurnished,310-710-9361,"11,264"
25533879,,3290,3290   San Marino St ,Los Angeles,90006,0,1.00 (1 0 0 0),,,200,"$1,600","$1,600","$1,600",560,$2.86,1907,1,None,Call,1+Year,Unfurnished,213-705-1111,"5,908"
PW25099204MR,Apartment,1708,1708   Pine AVE #5,LONG BEACH,90813,1,1.00 (1 0 0 0),,$0.00,,"$1,600","$1,600","$1,600",740,$2.16,1961,0,Laundry Area,,1-Year,Unfurnished,,"7,561"
GD25097893IT,Apartment,17931,17931   Devonshire ST #13,NORTHRIDGE,91325,1,1.00 (1 0 0 0),,$0.00,,"$1,675","$1,675","$1,675",675,$2.48,1963,1,Community,No,1-Year,Unfurnished,818-437-2433,"25,596"
SR25098973MR,,9013,9013 1/2  Gladbeck Ave ,NORTHRIDGE,91324,0,1.00 (1 0 0 0),,$500.00,,"$1,695","$1,695","$1,695",385,$4.40,2020,1,"Dryer,Dryer Included,Gas Dryer Hookup,Inside,Washer,Washer Included",,1-Year,Unfurnished,818.635.6600,
CV25097433MR,,256,256  W College ST #4,COVINA,91723,0,1.00 (1 0 0 0),,$0.00,,"$1,700","$1,700","$1,700",580,$2.93,1940,1,Community,No,Month-to-Month,Furnished,909-750-1763,"10,341"
25534513,,320,320  S Hobart Blvd #2,Los Angeles,90020,1,1.00 (1 0 0 0),,,,"$1,700","$1,700","$1,700",720,$2.36,1959,1,Community,No,1+Year,Unfurnished,213-249-8949,"9,254"
OC25099147MR,Condominium,840,840   Cedar AVE #4,LONG BEACH,90813,1,1.00 (1 0 0 0),,$0.00,,"$1,745","$1,745","$1,745",642,$2.72,1962,0,Community,No,1-Year,Unfurnished,714-478-6851,"14,562"
IN25097081MR,Apartment,2517,2517  W 54th ST ,LOS ANGELES,90043,1,1.00 (1 0 0 0),,$0.00,,"$1,750","$1,750","$1,750",650,$2.69,1958,1,"Laundry Area,Room",No,"Month-to-Month,Negotiable",Unfurnished,310-251-6313,"5,252"
TR25097714MR,Apartment,2522,2522   Alcazar ST #D,LOS ANGELES,90033,1,1.00 (1 0 0 0),,$250.00,,"$1,750","$1,750","$1,750",650,$2.69,1986,1,None,,1-Year,Unfurnished,626-374-5121,"7,506"
25513861,Apartment,5729,5729   Carlton Way #1/4,Los Angeles,90028,0,1.00 (1 0 0 0),,,,"$1,795","$1,795","$1,795",300,$5.98,1928,0,"In Unit,Inside,In Living Room,In Kitchen",Call,"1+Year,1-Year,12 Months,24 Months,6 Months,Month-to-Month,Negotiable,Renewal Options",Unfurnished,213-605-6296,"7,002"
25532515,Condominium,425,425  S Kenmore Ave #103,Los Angeles,90020,0,1.00 (1 0 0 0),,,,"$1,795","$1,795","$1,795",600,$2.99,1963,1,Community,Call,"1-Year,1+Year",Unfurnished,818-577-0476,"17,862"
TR25090094MR,Apartment,1962,1962  S Park AVE #4,POMONA,91766,1,1.00 (1 0 0 0),,$300.00,100,"$1,800","$3,600","$1,800",800,$2.25,1965,1,Community,,1-Year,Unfurnished,909-228-2838,"7,358"
WS25097682MR,Apartment,12616,12616   Lambert RD #1,WHITTIER,90602,1,1.00 (1 0 0 0),,$0.00,,"$1,800","$1,400","$1,800",500,$3.60,1954,0,"Gas Dryer Hookup,Washer Hookup",No,1-Year,Unfurnished,3236577591,"7,202"
25533243,,6244,6244   De Longpre Ave #10,Los Angeles,90028,1,1.00 (1 0 0 0),,,,"$1,825","$1,825","$1,825",635,$2.87,1958,0,"Laundry Closet Stacked,Laundry Area",Yes,1-Year,Unfurnished,310-666-9682,"6,759"
25533125,,1556,1556  W 227th St #3,Torrance,90501,1,1.00 (1 0 0 0),,,,"$1,835","$1,835","$1,835",650,$2.82,1986,1,Community,Call,1-Year,Unfurnished,323-459-1405,"7,200"
25533917,Apartment,1266,1266  S Citrus Ave ,Los Angeles,90019,0,1.00 (1 0 0 0),,,,"$1,850","$1,800","$1,850",595,$3.11,1929,0,None,No,"12 Months,6 Months",Unfurnished,213-440-1414,"6,001"
25534369,,1856,1856  W 14th St ,Los Angeles,90006,1,1.00 (1 0 0 0),,,,"$1,850","$1,850","$1,850",,$0,1947,1,In Unit,Call,1+Year,Unfurnished,213-494-8501,"6,368"
CV25099467MR,Single Family,332,332   Cameron  #B,POMONA,91767,1,1.00 (1 0 0 0),,$500.00,25,"$1,850","$1,850","$1,850",418,$4.43,1956,0,None,,1-Year,Unfurnished,909-228-9284,"4,500"
OC25096844MR,Apartment,572,572   Nebraska AVE #4,LONG BEACH,90803,1,1.00 (1 0 0 0),,$0.00,,"$1,850","$1,850","$1,850",432,$4.28,1958,1,Community,No,1-Year,,714-292-2271,"7,427"
SR25068401MR,,8407,8407   Geyer AVE ,NORTHRIDGE,91324,1,1.00 (1 0 0 0),,$400.00,,"$1,875","$1,975","$1,875",406,$4.62,2025,1,"Dryer,Dryer Included,Inside,Washer,Washer Included",,"1+Year,1-Year,Negotiable",Unfurnished,818-470-2304,"7,653"
25533841,Loft,315,315  W 5th ST #606,LOS ANGELES,90013,0,1.00 (1 0 0 0),,,,"$1,875","$1,875","$1,875",691,$2.71,1913,0,"Community,In Unit",Yes,1+Year,Unfurnished,213-247-1265,"19,358"
BB25095940MR,Condominium,320,320  S Gramercy PL #302,LOS ANGELES,90020,1,1.00 (1 0 0 0),,$0.00,,"$1,895","$2,395","$1,895",657,$2.88,1964,1,"Community,Garage,Laundry Area",,1-Year,Unfurnished,818-414-2689,"15,020"
SR25097192MR,,420,420  W Alameda AVE #C,BURBANK,91506,1,1.00 (1 0 0 0),,$0.00,,"$1,895","$1,895","$1,895",600,$3.16,1954,0,None,,1-Year,Unfurnished,818-481-7355,"5,751"
OC25098616MR,,183,183   Mira Del Oeste  ,SAN CLEMENTE,92673,2,1.00 (1 0 0 0),,$0.00,,"$1,900","$1,900","$1,900","1,944",$0.98,2004,4,Room,No,1-Year,Furnished,949-463-3193,"4,500"
IG25095784MR,Apartment,245,245  S Pima AVE #21,WEST COVINA,91790,1,1.00 (1 0 0 0),,$0.00,,"$1,900","$1,900","$1,900","21,918",$0.09,1961,2,Laundry Area,No,1-Year,Unfurnished,,"29,309"
25533927,,128,128  S Palm Dr #130,Beverly Hills,90212,0,1.00 (1 0 0 0),,,,"$1,925","$1,900","$1,925",400,$4.81,1937,0,None,Yes,12 Months,Unfurnished,310-818-3246,"6,072"
25529273,,536,536   Manhattan Pl #316,Los Angeles,90020,1,1.00 (1 0 0 0),,,,"$1,950","$1,950","$1,950",600,$3.25,1986,1,"Community,Laundry Area",No,1+Year,Unfurnished,213-705-1111,"27,000"
PW25097931MR,Single Family,2621,2621 1/2  Michigan  ,EAST LOS ANGELES,90033,1,1.00 (1 0 0 0),,$100.00,,"$1,950","$1,950","$1,950",309,$6.31,2018,2,"Other,Washer Hookup",,1-Year,Furnished,626-484-4113,"4,500"
RS25099842MR,Single Family,3520,3520   Lewis Avenue #A,LONG BEACH,90807,1,1.00 (0 1 0 0),,$375.00,,"$1,950","$2,000","$1,950",490,$3.98,2024,0,None,,1-Year,Unfurnished,562-896-9716,"6,277"
OC25098862MR,Condominium,1750,1750  E Ocean BLVD #1612,LONG BEACH,90802,0,1.00 (1 0 0 0),,$0.00,50,"$1,990","$2,000","$1,990",487,$4.09,1975,1,Laundry Area,,1-Year,Furnished,714-269-0547,"44,385"
P1-22040PF,Apartment,1901,1901   Marengo AVE #1909,SOUTH PASADENA,91030,12,8.00 (8 0 0 0),,$1.00,,"$1,995","$1,995","$1,995","7,123",$0.28,1948,1,Laundry Area,No,1-Year,Unfurnished,(626) 975-6320,"7,123"
25515318,,6835,6835   Lubao Ave ,Winnetka,91306,1,1.00 (1 0 0 0),,,,"$1,995","$2,000","$1,995",,$0,2024,0,Inside,Call,Other,Both,310-430-6429,"6,754"
