MLS,Prop Subtype,St #,Address,City,Zip,BR,Baths(FTHQ),Other Deposit,Pet Deposit,Key Deposit,OLP,Security Deposit,LP,SqFt,LP $/SqFt,YB,# Prking Spaces,Laundry,Pets,Lease Terms,Furnished,Seller's Agent 1 Cell,Lot Sz
IN25089952MR,Apartment,507,507   Broad AVE ,WILMINGTON,90744,0,1.00 (1 0 0 0),,$500.00,,"$1,350","$1,350","$1,350",564,$2.39,1935,0,"Laundry Area,Room",No,"Month-to-Month,Negotiable",Unfurnished,310-251-6313,"8,601"
DW25083003MR,,8009,8009   Rose ST ,PARAMOUNT,90723,1,1.00 (1 0 0 0),150,$750.00,50,"$1,400",$150,"$1,400",200,$7,2004,0,Inside,,"1-Year,Other",Furnished,818-731-4095,"3,661"
GD25090407IT,Apartment,16226,16226   Vanowen ST #205,VAN NUYS,91406,0,1.00 (1 0 0 0),,$0.00,,"$1,450","$1,450","$1,450",350,$4.14,1985,1,Community,No,1-Year,Unfurnished,818-437-2433,"16,704"
DW25089110MR,Apartment,16218,16218  S Caress AVE #A,COMPTON,90221,1,1.00 (1 0 0 0),,$0.00,,"$1,500","$1,500","$1,500",270,$5.56,1946,0,None,No,1-Year,Unfurnished,562-413-7388,"5,075"
PW25091909MR,Apartment,412,412  N Rose AVE #A,LONG BEACH,90802,0,1.00 (1 0 0 0),,$500.00,,"$1,550","$1,495","$1,550",415,$3.73,1920,0,Laundry Area,,1-Year,Unfurnished,562-481-7386,"3,140"
24-411847,,607,607  S Dunsmuir AVE #301,LOS ANGELES,90036,0,1.00 (1 0 0 0),,,,"$1,599","$1,599","$1,599",520,$3.08,1929,0,Community,Call,12 Months,Unfurnished,310-710-9361,"7,801"
25530137,Apartment,1035,1035  S Westmoreland Ave #1045,Los Angeles,90006,20,28.00 (28 0 0 0),,,,"$1,600","$1,600","$1,600","20,730",$0.08,1941,20,Community,No,1+Year,Both,213-610-2424,"30,024"
OC25092305MR,,306,306  E Ellis AVE ,INGLEWOOD,90302,0,1.00 (1 0 0 0),25,$250.00,50,"$1,600","$1,600","$1,600",325,$4.92,1923,1,Garage,,1-Year,Unfurnished,714-504-5624,"5,692"
RS25092095MR,Apartment,4966,4966   Oregon AVE #B,LONG BEACH,90805,1,1.00 (1 0 0 0),,$0.00,,"$1,600","$1,600","$1,600",550,$2.91,1957,0,None,No,1-Year,Unfurnished,562-607-1212,"5,919"
TR25088835MR,,1359,1359   Glen Avenue ,POMONA,91768,0,1.00 (0 1 0 0),,$0.00,100,"$1,600","$1,000","$1,600",273,$5.86,1964,0,None,No,1-Year,Furnished,626-607-7828,
SR25093373MR,Apartment,4370,4370  W 141 ST ,HAWTHORNE,90250,1,1.00 (1 0 0 0),,$300.00,100,"$1,650","$1,650","$1,650",575,$2.87,1969,1,Laundry Area,,1-Year,Unfurnished,818-564-5054,"26,000"
WS25093336MR,Apartment,1050,1050   College View DR #7,MONTEREY PARK,91754,1,1.00 (1 0 0 0),,$0.00,,"$1,650","$1,650","$1,650",700,$2.36,1959,0,Laundry Area,No,1-Year,Unfurnished,626-251-7817,"16,210"
