MLS,Prop Subtype,St #,Address,City,Zip,BR,Baths(FTHQ),Other Deposit,Pet Deposit,Key Deposit,OLP,Security Deposit,LP,SqFt,LP $/SqFt,YB,# Prking Spaces,Laundry,Pets,Lease Terms,Furnished,Seller's Agent 1 Cell,Lot Sz
TR25121606MR,,306,306  N Del Sol LN ,DIAMOND BAR,91765,5,3.00 (3 0 0 0),,$0.00,,$900,$900,$900,"2,204",$0.41,1965,2,"Dryer,Dryer Included,Washer,Washer Included",No,1-Year,Furnished,310-739-6457,"9,138"
CV25123083MR,,1019,1019  E Cameron AVE #B,WEST COVINA,91790,0,1.00 (0 1 0 0),100,$0.00,,"$1,450","$1,450","$1,450",400,$3.63,1952,1,"Gas Dryer Hookup,In Kitchen,Inside,Laundry Closet Stacked,Stackable W/D Hookup",No,1-Year,Furnished,626-373-5684,"7,490"
AR25122017MR,,1848,1848   Gretta AVE #B,LA PUENTE,91744,1,1.00 (1 0 0 0),,$0.00,,"$1,480","$1,480","$1,480",580,$2.55,1963,0,"Dryer,Dryer Included,Outside,Washer,Washer Included",No,1-Year,Furnished,626-512-5242,"11,538"
IN25119278MR,Single Family,13107,13107   Jarvis AVE ,LOS ANGELES,90061,1,1.00 (1 0 0 0),,$500.00,50,"$1,500","$1,500","$1,500","1,102",$1.36,1953,0,"Gas Or Electric Dryer Hookup,Washer Hookup",,1-Year,Unfurnished,310-508-7155,"6,717"
SR25116681MR,Apartment,4530,4530   Eagle Rock Blvd ,EAGLE ROCK,90041,0,1.00 (1 0 0 0),,$0.00,1,"$1,500","$1,500","$1,500",500,$3,1922,2,None,No,1-Year,Unfurnished,661-678-3377,"6,344"
CV25122297MR,,9711,9711   Somerset  ,BELLFLOWER,90706,0,1.00 (1 0 0 0),,$200.00,50,"$1,550","$1,550","$1,550",400,$3.88,1954,1,None,,1-Year,Unfurnished,626-290-8678,"5,463"
SB25120628MR,Apartment,101,101   Dudley Ave #305,VENICE,90291,0,0.00 (0 0 0 0),,$0.00,,"$1,598","$1,598","$1,598",200,$7.99,1914,0,Community,No,"1+Year,1-Year,Month-to-Month,Other",Unfurnished,818-730-2985,"6,098"
SB25123194MR,,3108,3108   6th AVE #1/2,LOS ANGELES,90018,1,1.00 (1 0 0 0),,$0.00,,"$1,600","$1,600","$1,600",565,$2.83,1925,1,None,,1-Year,Unfurnished,424-732-2821,"5,750"
25546053,,3113,3113  W 36th St ,Los Angeles,90018,0,1.00 (1 0 0 0),,,,"$1,600","$1,600","$1,600",,$0,,1,None,Call,1-Year,Unfurnished,310-200-4111,"7,330"
25545761,Apartment,6768,6768   Lexington Ave #10,Los Angeles,90038,0,1.00 (1 0 0 0),,,,"$1,650","$1,650","$1,650",400,$4.13,1924,0,Community,Yes,1+Year,Unfurnished,310-746-6510,"6,207"
CV25122467MR,Apartment,252,252  E Navilla PL ,COVINA,91723,1,1.00 (1 0 0 0),,$0.00,,"$1,650","$1,650","$1,650",650,$2.54,1959,1,Laundry Area,No,Month-to-Month,Unfurnished,909-750-1763,"8,742"
SB25123102MR,,1238,1238  E 69th ST ,LOS ANGELES,90001,1,1.00 (1 0 0 0),,$0.00,,"$1,650","$1,650","$1,650","1,924",$0.86,1948,0,None,,1-Year,Unfurnished,323-413-5406,"4,916"
25545299,,5522,5522   Sierra Vista Ave #1,Los Angeles,90038,1,1.00 (1 0 0 0),,,,"$1,695","$1,695","$1,695",600,$2.83,1925,0,Community,Yes,12 Months,Unfurnished,310-488-5459,"9,409"
SB25120633MR,Apartment,101,101   Dudley Ave #315,VENICE,90291,0,0.00 (0 0 0 0),,$0.00,,"$1,698","$1,698","$1,698",200,$8.49,1914,0,Community,No,"1+Year,1-Year,Month-to-Month,Other",Unfurnished,818-730-2985,"6,098"
WS25121627MR,,401,401  S Canyon BLVD #A,MONROVIA,91016,1,1.00 (1 0 0 0),,$0.00,,"$1,700","$1,700","$1,700",700,$2.43,1959,0,None,No,1-Year,Unfurnished,626-636-5208,"7,959"
SR25121479MR,Single Family,17559,17559   LEMAY  ,LAKE BALBOA,91406,0,1.00 (1 0 0 0),,$500.00,,"$1,795","$1,800","$1,795",450,$3.99,2019,0,"Washer,Washer Included",,1-Year,Furnished,818-620-2244,"6,216"
PW25122941MR,Apartment,2309,2309   Cedar  ,LONG BEACH,90806,1,1.00 (1 0 0 0),,$0.00,,"$1,795","$1,795","$1,795",750,$2.39,1962,0,Laundry Area,,Month-to-Month,Unfurnished,562-833-3132,"6,579"
25512727,,1540,1540  N Bronson Ave #16,Los Angeles,90028,0,1.00 (1 0 0 0),,,,"$1,795","$1,795","$1,795",400,$4.49,1996,1,Community,Call,"1+Year,1-Year,12 Months,24 Months,6 Months,Month-to-Month,Negotiable,Other,Renewal Options,Season,Short Term Lease",Furnished,213-605-6296,"12,253"
25538497,,460,460  S SPRING ST #206,LOS ANGELES,90013,0,1.00 (1 0 0 0),,,,"$1,800","$1,800","$1,800",460,$3.91,1912,0,"In Unit,In Closet,Laundry Closet Stacked",Call,1+Year,Unfurnished,310-944-8611,"30,787"
