ZIP,COUNTY,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
90075,06037,LOS ANGELES,CA,1.000000000,1.000000000,1.000000000,1.000000000
90076,06037,LOS ANGELES,CA,1.000000000,1.000000000,1.000000000,1.000000000
90077,06037,LOS ANGELES,CA,1.000000000,1.000000000,1.000000000,1.000000000
90078,06037,LOS ANGELES,CA,1.000000000,1.000000000,1.000000000,1.000000000
90079,06037,LOS ANGELES,CA,1.000000000,1.000000000,1.000000000,1.000000000
90081,06037,LOS ANGELES,CA,1.000000000,1.000000000,1.000000000,1.000000000
90082,06037,LOS ANGELES,CA,1.000000000,1.000000000,1.000000000,1.000000000
90083,06037,LOS ANGELES,CA,1.000000000,1.000000000,1.000000000,1.000000000
90084,06037,LOS ANGELES,CA,0.000000000,0.000000000,1.000000000,1.000000000
90086,06037,LOS ANGELES,CA,1.000000000,1.000000000,1.000000000,1.000000000
90087,06037,LOS ANGELES,CA,1.000000000,1.000000000,1.000000000,1.000000000
90089,06037,LOS ANGELES,CA,1.000000000,1.000000000,1.000000000,1.000000000
90091,06037,LOS ANGELES,CA,1.000000000,1.000000000,1.000000000,1.000000000
90093,06037,LOS ANGELES,CA,1.000000000,1.000000000,1.000000000,1.000000000
90094,06037,PLAYA VISTA,CA,1.000000000,1.000000000,1.000000000,1.000000000
90095,06037,LOS ANGELES,CA,1.000000000,1.000000000,1.000000000,1.000000000
90099,06037,LOS ANGELES,CA,0.000000000,0.000000000,1.000000000,1.000000000
90140,06037,LOS ANGELES,CA,0.000000000,1.000000000,0.000000000,1.000000000
90201,06037,BELL GARDENS,CA,1.000000000,1.000000000,1.000000000,1.000000000
90202,06037,BELL,CA,1.000000000,1.000000000,1.000000000,1.000000000
90205,06037,BELL GARDENS,CA,0.000000000,1.000000000,0.000000000,1.000000000
90209,06037,BEVERLY HILLS,CA,1.000000000,1.000000000,1.000000000,1.000000000
90210,06037,BEVERLY HILLS,CA,1.000000000,1.000000000,1.000000000,1.000000000
90211,06037,BEVERLY HILLS,CA,1.000000000,1.000000000,1.000000000,1.000000000
90212,06037,BEVERLY HILLS,CA,1.000000000,1.000000000,1.000000000,1.000000000
90213,06037,BEVERLY HILLS,CA,1.000000000,1.000000000,1.000000000,1.000000000
90220,06037,COMPTON,CA,1.000000000,1.000000000,1.000000000,1.000000000
90221,06037,COMPTON,CA,1.000000000,1.000000000,1.000000000,1.000000000
90222,06037,COMPTON,CA,1.000000000,1.000000000,1.000000000,1.000000000
90223,06037,COMPTON,CA,1.000000000,1.000000000,1.000000000,1.000000000
90224,06037,COMPTON,CA,1.000000000,1.000000000,1.000000000,1.000000000
90230,06037,CULVER CITY,CA,1.000000000,1.000000000,1.000000000,1.000000000
90231,06037,CULVER CITY,CA,1.000000000,1.000000000,1.000000000,1.000000000
90232,06037,CULVER CITY,CA,1.000000000,1.000000000,1.000000000,1.000000000
90239,06037,DOWNEY,CA,1.000000000,1.000000000,1.000000000,1.000000000
90240,06037,DOWNEY,CA,1.000000000,1.000000000,1.000000000,1.000000000
90241,06037,DOWNEY,CA,1.000000000,1.000000000,1.000000000,1.000000000
90242,06037,DOWNEY,CA,1.000000000,1.000000000,1.000000000,1.000000000
90245,06037,EL SEGUNDO,CA,1.000000000,1.000000000,1.000000000,1.000000000
90247,06037,GARDENA,CA,1.000000000,1.000000000,1.000000000,1.000000000
90248,06037,GARDENA,CA,1.000000000,1.000000000,1.000000000,1.000000000
90249,06037,GARDENA,CA,1.000000000,1.000000000,1.000000000,1.000000000
90250,06037,HAWTHORNE,CA,1.000000000,1.000000000,1.000000000,1.000000000
90251,06037,HAWTHORNE,CA,1.000000000,1.000000000,1.000000000,1.000000000
90254,06037,HERMOSA BEACH,CA,1.000000000,1.000000000,1.000000000,1.000000000
90255,06037,HUNTINGTON PARK,CA,1.000000000,1.000000000,1.000000000,1.000000000
90260,06037,LAWNDALE,CA,1.000000000,1.000000000,1.000000000,1.000000000
90262,06037,LYNWOOD,CA,1.000000000,1.000000000,1.000000000,1.000000000
90263,06037,MALIBU,CA,0.000000000,1.000000000,1.000000000,1.000000000
90264,06037,MALIBU,CA,1.000000000,1.000000000,1.000000000,1.000000000
90265,06111,MALIBU,CA,0.043000478,0.008771930,0.041825095,0.040026629
90265,06037,MALIBU,CA,0.956999522,0.991228070,0.958174905,0.959973371
90266,06037,MANHATTAN BEACH,CA,1.000000000,1.000000000,1.000000000,1.000000000
90267,06037,MANHATTAN BEACH,CA,1.000000000,1.000000000,1.000000000,1.000000000
90270,06037,MAYWOOD,CA,1.000000000,1.000000000,1.000000000,1.000000000
90272,06037,PACIFIC PALISADES,CA,1.000000000,1.000000000,1.000000000,1.000000000
90274,06037,PALOS VERDES PENINSULA,CA,1.000000000,1.000000000,1.000000000,1.000000000
90275,06037,RANCHO PALOS VERDES,CA,1.000000000,1.000000000,1.000000000,1.000000000
90277,06037,REDONDO BEACH,CA,1.000000000,1.000000000,1.000000000,1.000000000
90278,06037,REDONDO BEACH,CA,1.000000000,1.000000000,1.000000000,1.000000000
90280,06037,SOUTH GATE,CA,1.000000000,1.000000000,1.000000000,1.000000000
90290,06037,TOPANGA,CA,1.000000000,1.000000000,1.000000000,1.000000000
90291,06037,VENICE,CA,1.000000000,1.000000000,1.000000000,1.000000000
90292,06037,MARINA DEL REY,CA,1.000000000,1.000000000,1.000000000,1.000000000
90293,06037,PLAYA DEL REY,CA,1.000000000,1.000000000,1.000000000,1.000000000
90294,06037,VENICE,CA,1.000000000,1.000000000,1.000000000,1.000000000
90295,06037,MARINA DEL REY,CA,1.000000000,1.000000000,1.000000000,1.000000000
90296,06037,PLAYA DEL REY,CA,1.000000000,1.000000000,1.000000000,1.000000000
90301,06037,INGLEWOOD,CA,1.000000000,1.000000000,1.000000000,1.000000000
90302,06037,INGLEWOOD,CA,1.000000000,1.000000000,1.000000000,1.000000000
90303,06037,INGLEWOOD,CA,1.000000000,1.000000000,1.000000000,1.000000000
90304,06037,INGLEWOOD,CA,1.000000000,1.000000000,1.000000000,1.000000000
90305,06037,INGLEWOOD,CA,1.000000000,1.000000000,1.000000000,1.000000000
90306,06037,INGLEWOOD,CA,1.000000000,1.000000000,1.000000000,1.000000000
90307,06037,INGLEWOOD,CA,1.000000000,1.000000000,1.000000000,1.000000000
90308,06037,INGLEWOOD,CA,1.000000000,1.000000000,1.000000000,1.000000000
90309,06037,INGLEWOOD,CA,1.000000000,1.000000000,1.000000000,1.000000000
90310,06037,INGLEWOOD,CA,1.000000000,1.000000000,1.000000000,1.000000000
90401,06037,SANTA MONICA,CA,1.000000000,1.000000000,1.000000000,1.000000000
90402,06037,SANTA MONICA,CA,1.000000000,1.000000000,1.000000000,1.000000000
90403,06037,SANTA MONICA,CA,1.000000000,1.000000000,1.000000000,1.000000000
90404,06037,SANTA MONICA,CA,1.000000000,1.000000000,1.000000000,1.000000000
90405,06037,SANTA MONICA,CA,1.000000000,1.000000000,1.000000000,1.000000000
90406,06037,SANTA MONICA,CA,1.000000000,1.000000000,1.000000000,1.000000000
90408,06037,SANTA MONICA,CA,1.000000000,1.000000000,1.000000000,1.000000000
90409,06037,SANTA MONICA,CA,1.000000000,1.000000000,1.000000000,1.000000000
90501,06037,TORRANCE,CA,1.000000000,1.000000000,1.000000000,1.000000000
90502,06037,TORRANCE,CA,1.000000000,1.000000000,1.000000000,1.000000000
90503,06037,TORRANCE,CA,1.000000000,1.000000000,1.000000000,1.000000000
90504,06037,TORRANCE,CA,1.000000000,1.000000000,1.000000000,1.000000000
90505,06037,TORRANCE,CA,1.000000000,1.000000000,1.000000000,1.000000000
90506,06037,TORRANCE,CA,0.000000000,1.000000000,1.000000000,1.000000000
90507,06037,TORRANCE,CA,1.000000000,1.000000000,1.000000000,1.000000000
90508,06037,TORRANCE,CA,1.000000000,1.000000000,1.000000000,1.000000000
90509,06037,TORRANCE,CA,0.000000000,0.000000000,1.000000000,1.000000000
90510,06037,TORRANCE,CA,1.000000000,1.000000000,1.000000000,1.000000000
90601,06037,WHITTIER,CA,1.000000000,1.000000000,1.000000000,1.000000000
90602,06037,WHITTIER,CA,1.000000000,1.000000000,1.000000000,1.000000000
90603,06037,WHITTIER,CA,1.000000000,1.000000000,1.000000000,1.000000000
90604,06037,WHITTIER,CA,1.000000000,1.000000000,1.000000000,1.000000000
90605,06037,WHITTIER,CA,1.000000000,1.000000000,1.000000000,1.000000000
90606,06037,WHITTIER,CA,1.000000000,1.000000000,1.000000000,1.000000000
90607,06037,WHITTIER,CA,1.000000000,1.000000000,1.000000000,1.000000000
90608,06037,WHITTIER,CA,1.000000000,1.000000000,1.000000000,1.000000000
90609,06037,WHITTIER,CA,1.000000000,1.000000000,1.000000000,1.000000000
90610,06037,WHITTIER,CA,0.000000000,0.000000000,1.000000000,1.000000000
90620,06059,BUENA PARK,CA,1.000000000,1.000000000,1.000000000,1.000000000
90621,06059,BUENA PARK,CA,1.000000000,1.000000000,1.000000000,1.000000000
90622,06059,BUENA PARK,CA,1.000000000,1.000000000,1.000000000,1.000000000
90623,06059,LA PALMA,CA,0.984024344,1.000000000,1.000000000,0.985386221
90623,06037,LA PALMA,CA,0.015975656,0.000000000,0.000000000,0.014613779
90624,06059,BUENA PARK,CA,0.000000000,0.000000000,1.000000000,1.000000000
90630,06059,CYPRESS,CA,0.996235491,0.998219585,0.996428571,0.996396987
90630,06037,CYPRESS,CA,0.003764509,0.001780415,0.003571429,0.003603013
90631,06059,LA HABRA,CA,0.908256881,0.994741455,1.000000000,0.921501706
90631,06037,LA HABRA,CA,0.091743119,0.005258545,0.000000000,0.078498294
90632,06059,LA HABRA,CA,1.000000000,1.000000000,1.000000000,1.000000000
90633,06059,LA HABRA,CA,1.000000000,1.000000000,1.000000000,1.000000000
90637,06037,LA MIRADA,CA,1.000000000,1.000000000,1.000000000,1.000000000
90638,06059,LA MIRADA,CA,0.009347614,0.049063336,0.006015038,0.011808504
90638,06037,LA MIRADA,CA,0.990652386,0.950936664,0.993984962,0.988191496
90639,06037,LA MIRADA,CA,0.000000000,1.000000000,0.000000000,1.000000000
90640,06037,MONTEBELLO,CA,1.000000000,1.000000000,1.000000000,1.000000000
90650,06037,NORWALK,CA,1.000000000,1.000000000,1.000000000,1.000000000
90651,06037,NORWALK,CA,1.000000000,1.000000000,1.000000000,1.000000000
90652,06037,NORWALK,CA,1.000000000,1.000000000,1.000000000,1.000000000
90660,06037,PICO RIVERA,CA,1.000000000,1.000000000,1.000000000,1.000000000
90661,06037,PICO RIVERA,CA,0.000000000,0.000000000,1.000000000,1.000000000
90662,06037,PICO RIVERA,CA,1.000000000,1.000000000,1.000000000,1.000000000
90670,06037,SANTA FE SPRINGS,CA,1.000000000,1.000000000,1.000000000,1.000000000
90671,06037,SANTA FE SPRINGS,CA,0.000000000,0.000000000,1.000000000,1.000000000
90680,06059,STANTON,CA,1.000000000,1.000000000,1.000000000,1.000000000
90701,06037,ARTESIA,CA,1.000000000,1.000000000,1.000000000,1.000000000
90702,06037,ARTESIA,CA,1.000000000,1.000000000,1.000000000,1.000000000
90703,06059,CERRITOS,CA,0.000000000,0.001248439,0.000000000,0.000149172
90703,06037,CERRITOS,CA,1.000000000,0.998751561,1.000000000,0.999850828
90704,06037,AVALON,CA,1.000000000,1.000000000,1.000000000,1.000000000
90706,06037,BELLFLOWER,CA,1.000000000,1.000000000,1.000000000,1.000000000
90707,06037,BELLFLOWER,CA,1.000000000,1.000000000,1.000000000,1.000000000
90710,06037,HARBOR CITY,CA,1.000000000,1.000000000,1.000000000,1.000000000
90711,06037,LAKEWOOD,CA,1.000000000,1.000000000,1.000000000,1.000000000
90712,06037,LAKEWOOD,CA,1.000000000,1.000000000,1.000000000,1.000000000
90713,06037,LAKEWOOD,CA,1.000000000,1.000000000,1.000000000,1.000000000
90714,06037,LAKEWOOD,CA,1.000000000,1.000000000,1.000000000,1.000000000
90715,06037,LAKEWOOD,CA,1.000000000,1.000000000,1.000000000,1.000000000
90716,06037,HAWAIIAN GARDENS,CA,1.000000000,1.000000000,1.000000000,1.000000000
90717,06037,LOMITA,CA,1.000000000,1.000000000,1.000000000,1.000000000
90720,06059,LOS ALAMITOS,CA,1.000000000,1.000000000,1.000000000,1.000000000
90721,06059,LOS ALAMITOS,CA,1.000000000,1.000000000,1.000000000,1.000000000
90723,06037,PARAMOUNT,CA,1.000000000,1.000000000,1.000000000,1.000000000
90731,06037,SAN PEDRO,CA,1.000000000,1.000000000,1.000000000,1.000000000
90732,06037,SAN PEDRO,CA,1.000000000,1.000000000,1.000000000,1.000000000
90733,06037,SAN PEDRO,CA,1.000000000,1.000000000,1.000000000,1.000000000
90734,06037,SAN PEDRO,CA,1.000000000,1.000000000,1.000000000,1.000000000
90740,06059,SEAL BEACH,CA,1.000000000,1.000000000,1.000000000,1.000000000
90742,06059,SUNSET BEACH,CA,1.000000000,1.000000000,1.000000000,1.000000000
90743,06059,SURFSIDE,CA,1.000000000,0.000000000,1.000000000,1.000000000
90744,06037,WILMINGTON,CA,1.000000000,1.000000000,1.000000000,1.000000000
90745,06037,CARSON,CA,1.000000000,1.000000000,1.000000000,1.000000000
90746,06037,CARSON,CA,1.000000000,1.000000000,1.000000000,1.000000000
90747,06037,CARSON,CA,0.000000000,1.000000000,0.000000000,1.000000000
90748,06037,WILMINGTON,CA,1.000000000,1.000000000,1.000000000,1.000000000
90749,06037,CARSON,CA,1.000000000,1.000000000,1.000000000,1.000000000
90755,06037,SIGNAL HILL,CA,1.000000000,1.000000000,1.000000000,1.000000000
90801,06037,LONG BEACH,CA,1.000000000,1.000000000,1.000000000,1.000000000
90802,06037,LONG BEACH,CA,1.000000000,1.000000000,1.000000000,1.000000000
90803,06037,LONG BEACH,CA,1.000000000,1.000000000,1.000000000,1.000000000
90804,06037,LONG BEACH,CA,1.000000000,1.000000000,1.000000000,1.000000000
90805,06037,LONG BEACH,CA,1.000000000,1.000000000,1.000000000,1.000000000
90806,06037,LONG BEACH,CA,1.000000000,1.000000000,1.000000000,1.000000000
90807,06037,LONG BEACH,CA,1.000000000,1.000000000,1.000000000,1.000000000
90808,06059,LONG BEACH,CA,0.001622744,0.000000000,0.000000000,0.001504031
90808,06037,LONG BEACH,CA,0.998377256,1.000000000,1.000000000,0.998495969
90809,06037,LONG BEACH,CA,1.000000000,1.000000000,1.000000000,1.000000000
90810,06037,LONG BEACH,CA,1.000000000,1.000000000,1.000000000,1.000000000
90813,06037,LONG BEACH,CA,1.000000000,1.000000000,1.000000000,1.000000000
90814,06037,LONG BEACH,CA,1.000000000,1.000000000,1.000000000,1.000000000
90815,06037,LONG BEACH,CA,0.997758662,1.000000000,1.000000000,0.997961769
90815,06059,LONG BEACH,CA,0.002241338,0.000000000,0.000000000,0.002038231
90822,06037,LONG BEACH,CA,0.000000000,1.000000000,1.000000000,1.000000000
90831,06037,LONG BEACH,CA,0.000000000,1.000000000,1.000000000,1.000000000
90832,06037,LONG BEACH,CA,1.000000000,1.000000000,1.000000000,1.000000000
90833,06037,LONG BEACH,CA,0.000000000,1.000000000,1.000000000,1.000000000
90840,06037,LONG BEACH,CA,0.000000000,1.000000000,1.000000000,1.000000000
90844,06037,LONG BEACH,CA,0.000000000,1.000000000,0.000000000,1.000000000
90846,06037,LONG BEACH,CA,0.000000000,1.000000000,0.000000000,1.000000000
90853,06037,LONG BEACH,CA,1.000000000,1.000000000,1.000000000,1.000000000
90895,06037,CARSON,CA,0.000000000,1.000000000,0.000000000,1.000000000
91001,06037,ALTADENA,CA,1.000000000,1.000000000,1.000000000,1.000000000
91003,06037,ALTADENA,CA,1.000000000,1.000000000,1.000000000,1.000000000
91006,06037,ARCADIA,CA,1.000000000,1.000000000,1.000000000,1.000000000
91007,06037,ARCADIA,CA,1.000000000,1.000000000,1.000000000,1.000000000
91008,06037,DUARTE,CA,1.000000000,1.000000000,1.000000000,1.000000000
91009,06037,DUARTE,CA,1.000000000,1.000000000,1.000000000,1.000000000
91010,06037,DUARTE,CA,1.000000000,1.000000000,1.000000000,1.000000000
91011,06037,LA CANADA FLINTRIDGE,CA,1.000000000,1.000000000,1.000000000,1.000000000
91012,06037,LA CANADA FLINTRIDGE,CA,1.000000000,1.000000000,1.000000000,1.000000000
91016,06037,MONROVIA,CA,1.000000000,1.000000000,1.000000000,1.000000000
91017,06037,MONROVIA,CA,1.000000000,1.000000000,1.000000000,1.000000000
91020,06037,MONTROSE,CA,1.000000000,1.000000000,1.000000000,1.000000000
91021,06037,MONTROSE,CA,1.000000000,1.000000000,1.000000000,1.000000000
91023,06037,MOUNT WILSON,CA,1.000000000,0.000000000,1.000000000,1.000000000
91024,06037,SIERRA MADRE,CA,1.000000000,1.000000000,1.000000000,1.000000000
91025,06037,SIERRA MADRE,CA,1.000000000,1.000000000,1.000000000,1.000000000
91030,06037,SOUTH PASADENA,CA,1.000000000,1.000000000,1.000000000,1.000000000
91031,06037,SOUTH PASADENA,CA,1.000000000,1.000000000,1.000000000,1.000000000
91040,06037,SUNLAND,CA,1.000000000,1.000000000,1.000000000,1.000000000
91041,06037,SUNLAND,CA,1.000000000,1.000000000,1.000000000,1.000000000
91042,06037,TUJUNGA,CA,1.000000000,1.000000000,1.000000000,1.000000000
91043,06037,TUJUNGA,CA,1.000000000,1.000000000,1.000000000,1.000000000
91046,06037,VERDUGO CITY,CA,1.000000000,1.000000000,1.000000000,1.000000000
91066,06037,ARCADIA,CA,1.000000000,1.000000000,1.000000000,1.000000000
91077,06037,ARCADIA,CA,1.000000000,1.000000000,1.000000000,1.000000000
91101,06037,PASADENA,CA,1.000000000,1.000000000,1.000000000,1.000000000
91102,06037,PASADENA,CA,1.000000000,1.000000000,1.000000000,1.000000000
91103,06037,PASADENA,CA,1.000000000,1.000000000,1.000000000,1.000000000
91104,06037,PASADENA,CA,1.000000000,1.000000000,1.000000000,1.000000000
91105,06037,PASADENA,CA,1.000000000,1.000000000,1.000000000,1.000000000
91106,06037,PASADENA,CA,1.000000000,1.000000000,1.000000000,1.000000000
91107,06037,PASADENA,CA,1.000000000,1.000000000,1.000000000,1.000000000
91108,06037,SAN MARINO,CA,1.000000000,1.000000000,1.000000000,1.000000000
91109,06037,PASADENA,CA,1.000000000,1.000000000,1.000000000,1.000000000
91114,06037,PASADENA,CA,1.000000000,1.000000000,1.000000000,1.000000000
91115,06037,PASADENA,CA,1.000000000,1.000000000,1.000000000,1.000000000
91116,06037,PASADENA,CA,1.000000000,1.000000000,1.000000000,1.000000000
91117,06037,PASADENA,CA,1.000000000,1.000000000,1.000000000,1.000000000
91118,06037,SAN MARINO,CA,1.000000000,1.000000000,1.000000000,1.000000000
91121,06037,PASADENA,CA,0.000000000,1.000000000,0.000000000,1.000000000
91123,06037,PASADENA,CA,0.000000000,0.000000000,1.000000000,1.000000000
91124,06037,PASADENA,CA,0.000000000,1.000000000,0.000000000,1.000000000
91125,06037,PASADENA,CA,0.000000000,1.000000000,0.000000000,1.000000000
91126,06037,PASADENA,CA,0.000000000,1.000000000,0.000000000,1.000000000
91129,06037,PASADENA,CA,0.000000000,0.000000000,1.000000000,1.000000000
91182,06037,PASADENA,CA,0.000000000,1.000000000,0.000000000,1.000000000
91184,06037,PASADENA,CA,0.000000000,1.000000000,0.000000000,1.000000000
91185,06037,PASADENA,CA,0.000000000,0.000000000,1.000000000,1.000000000
91188,06037,PASADENA,CA,0.000000000,1.000000000,0.000000000,1.000000000
91189,06037,PASADENA,CA,0.000000000,1.000000000,0.000000000,1.000000000
91199,06037,PASADENA,CA,0.000000000,1.000000000,0.000000000,1.000000000
91201,06037,GLENDALE,CA,1.000000000,1.000000000,1.000000000,1.000000000
91202,06037,GLENDALE,CA,1.000000000,1.000000000,1.000000000,1.000000000
91203,06037,GLENDALE,CA,1.000000000,1.000000000,1.000000000,1.000000000
91204,06037,GLENDALE,CA,1.000000000,1.000000000,1.000000000,1.000000000
91205,06037,GLENDALE,CA,1.000000000,1.000000000,1.000000000,1.000000000
91206,06037,GLENDALE,CA,1.000000000,1.000000000,1.000000000,1.000000000
91207,06037,GLENDALE,CA,1.000000000,1.000000000,1.000000000,1.000000000
91208,06037,GLENDALE,CA,1.000000000,1.000000000,1.000000000,1.000000000
91209,06037,GLENDALE,CA,1.000000000,1.000000000,1.000000000,1.000000000
91210,06037,GLENDALE,CA,1.000000000,1.000000000,1.000000000,1.000000000
91214,06037,LA CRESCENTA,CA,1.000000000,1.000000000,1.000000000,1.000000000
91221,06037,GLENDALE,CA,1.000000000,1.000000000,1.000000000,1.000000000
91222,06037,GLENDALE,CA,1.000000000,1.000000000,1.000000000,1.000000000
91224,06037,LA CRESCENTA,CA,1.000000000,1.000000000,1.000000000,1.000000000
91225,06037,GLENDALE,CA,1.000000000,1.000000000,1.000000000,1.000000000
91226,06037,GLENDALE,CA,1.000000000,1.000000000,1.000000000,1.000000000
91301,06037,AGOURA HILLS,CA,1.000000000,1.000000000,1.000000000,1.000000000
91302,06037,CALABASAS,CA,1.000000000,1.000000000,1.000000000,1.000000000
91303,06037,CANOGA PARK,CA,1.000000000,1.000000000,1.000000000,1.000000000
91304,06037,CANOGA PARK,CA,0.993465129,1.000000000,1.000000000,0.994198235
91304,06111,CANOGA PARK,CA,0.006534871,0.000000000,0.000000000,0.005801765
91305,06037,CANOGA PARK,CA,1.000000000,1.000000000,1.000000000,1.000000000
